 	se	nella	nella	pasta	voleva	sale	l	avevo	messo	</S>
a31	0.0860323564	0.0966150978	0.0850657694	0.074597935	0.1065455368	0.114487938	0.1016750218	0.09127364	0.1107254708	0.1329812554
a39	0.05614975594	0.05925477828	0.0662164624	0.0736732626	0.0790807414	0.119166178	0.1383402912	0.149073329	0.16966068	0.08938451
a31	0.096594566	0.076260388	0.104316658	0.0839856674	0.1101063234	0.1050091452	0.1063723852	0.1052570356	0.1410931418	0.0710046686
a14	0.0930463048	0.0600044246	0.0816020626	0.0761260238	0.1412017156	0.1098846112	0.1144213762	0.1001144334	0.1435561002	0.0800429868
a41	0.0699805186	0.063731698	0.077611016	0.0875887638	0.0954709434	0.0904674908	0.1180175296	0.120679035	0.1720672094	0.1043858346
a33	0.062187089	0.0549934248	0.0598303624	0.086109823	0.0913282958	0.08828046	0.119223756	0.1371342708	0.184330931	0.116581587
a20	0.0685550622	0.0549597313	0.0554711938	0.0741982558	0.07665794	0.0959706676	0.1110938006	0.1383176448	0.193436016	0.1313396894
a31	0.0701595348	0.0731238434	0.0682779424	0.0770147218	0.0847208662	0.0913900864	0.113070652	0.140612372	0.186581222	0.0950487506
a10	0.0480002899	0.0414601764	0.0401238292	0.061951543	0.0832647532	0.0923030536	0.1155197366	0.163854489	0.192631952	0.1608901634
a31	0.0492915676	0.0438179162	0.0539252078	0.084406827	0.1032633952	0.083088125	0.10478718	0.1490863668	0.20164618	0.1266872388
a46	0.0442089419	0.0430532028	0.0374978832	0.0523807734	0.0889209174	0.0968064412	0.1108064732	0.164890979	0.2363305424	0.1251038496
a31	0.040927548	0.034397987	0.03788414496	0.0534280314	0.0938446614	0.0928737394	0.126159534	0.1503800892	0.254015162	0.1160890844
a39	0.04008729766	0.03610630472	0.03646419798	0.0518332402	0.0848780554	0.0801047984	0.1226829996	0.1596104992	0.2296244372	0.158608174
a28	0.04325516096	0.039733431	0.0397900426	0.05527838	0.0967661239	0.0889079034	0.121816113	0.154638274	0.247738101	0.1120764704
a21	0.04644822096	0.0367014368	0.0377307424	0.056696741	0.0938264794	0.0874392138	0.122593717	0.1471485272	0.248211678	0.123203242
a24	0.05086035476	0.0410408589	0.0403007943	0.0556896464	0.092223412	0.0791199086	0.1168552788	0.1485167032	0.229131282	0.1462617558
a46	0.05218212518	0.0452180371	0.0457047628	0.0551976306	0.0854272264	0.0789528906	0.105438509	0.1489863498	0.22622307	0.1566693976
a20	0.0448416748	0.04509879768	0.0449144472	0.04821306886	0.085552577	0.0824747336	0.108323238	0.1554099414	0.244977734	0.1401937864
a31	0.0416040499	0.03746321748	0.04294872692	0.0602253	0.0795080252	0.0838226604	0.0925110596	0.1510339708	0.2703189132	0.1405640966
a14	0.04107402384	0.0457459506	0.0313829516	0.0466943256	0.0923371168	0.0865994128	0.1146504622	0.169532232	0.2532041424	0.1187793984
a17	0.040463917	0.03172550332	0.028611904	0.0405449061	0.0761238384	0.0737756782	0.1023689386	0.158550408	0.296790868	0.151044058
a31	0.03425399546	0.03413728236	0.0286446408	0.0338884098	0.0728356906	0.0688592324	0.0835836462	0.1468269812	0.352378856	0.1445912766
a11	0.0397828671	0.0416221049	0.03498305604	0.048633119	0.0849961568	0.0953317092	0.1155801976	0.155195386	0.2360903304	0.1477850732
a18	0.0386167423	0.0346837742	0.027771611	0.0373036556	0.08038309	0.07323249	0.0953854652	0.15316811	0.293688898	0.1657661446
a6	0.029887151148	0.03148776788	0.02755309168	0.03776395546	0.0745102016	0.0752930944	0.0823157748	0.143308338	0.318793688	0.1790869516
a8	0.02665068198	0.02669660022	0.0286826578	0.0400547896	0.0603909392	0.0793957162	0.084207095	0.1255872426	0.3298987448	0.1984355646
a31	0.0285638952	0.0312268258	0.0320568022	0.048291948	0.0745775644	0.0965683086	0.0944040532	0.1270555684	0.275360528	0.1918945014
a24	0.03810586606	0.0477804336	0.0417833756	0.0483431381	0.0809662738	0.0933278352	0.1072435678	0.145178825	0.2745252376	0.1227454192
a37	0.02960023034	0.0347889358	0.0322007644	0.04366212852	0.0731191864	0.083303637	0.089195374	0.1361395062	0.2575266712	0.2204635836
a38	0.0294345794	0.0303491834	0.02854100628	0.06874476426	0.0822031694	0.1087638218	0.098165914	0.143826258	0.270367332	0.1396039634
a31	0.03314198044	0.038714456	0.04122377314	0.07362909716	0.0797533404	0.1014749882	0.094885191	0.141497682	0.2724717532	0.1232077494
a11	0.0410675537	0.0371791968	0.0348187016	0.07109101592	0.0880334462	0.0937167034	0.089029331	0.1358274352	0.2495274544	0.159709135
a31	0.036857434	0.0422935678	0.04432717886	0.069397159	0.0855442504	0.0954303012	0.0929846952	0.144949284	0.208940861	0.179275291
a8	0.0466404557	0.03798470348	0.0345039068	0.0503879282	0.0843010992	0.1109680673	0.0972246138	0.1306646268	0.2697521252	0.1375725004
a10	0.0477892782	0.051049062	0.0513288666	0.0513286229	0.09046069572	0.0901965212	0.1035716554	0.147379388	0.189333574	0.177562317
a18	0.04141495198	0.0434621032	0.0393503027	0.0459186124	0.0847975566	0.1115030634	0.1123088076	0.1690740068	0.2069651268	0.1452054418
a31	0.0405901599	0.0438616514	0.04579608372	0.0582980506	0.1046203072	0.0998553156	0.093920343	0.1472566688	0.218293064	0.14750835
a11	0.0525053702	0.0481881962	0.046805065	0.0614006048	0.0925116558	0.1081477734	0.0917788928	0.124588731	0.2185296314	0.1555440488
a10	0.04976734644	0.0515325701	0.0519228506	0.059450242	0.0946617203	0.1011262186	0.0962267854	0.127414722	0.1694466212	0.198450945
a1	0.04845373172	0.0511513462	0.0514000805	0.0703490932	0.1002021712	0.091824052	0.0884710028	0.1526958972	0.188592898	0.156859719
a41	0.048726835	0.0499192254	0.04910352088	0.056618695	0.1115395992	0.100365079	0.096378148	0.1548874072	0.17861877	0.1538427188
a31	0.0475729776	0.0500174763	0.047385463	0.051272998	0.0949805818	0.1145246742	0.10288887	0.134526504	0.19517976	0.1616507048
a8	0.0630859592	0.0554409384	0.0522748768	0.06274113628	0.07246089612	0.1050700764	0.1074670585	0.121259233	0.190580241	0.1696195668
a31	0.06392047774	0.0651490784	0.0637886587	0.06558805796	0.0983281197	0.0966852176	0.0882704554	0.1218363678	0.153092228	0.1833413428
a37	0.0766363646	0.0717597348	0.0720407828	0.0906878654	0.0812737652	0.0917665726	0.086499191	0.11612862	0.1643281352	0.14887896
a8	0.0629908448	0.0624361868	0.0637504838	0.0646737464	0.07680469632	0.084729548	0.0893880644	0.125871916	0.16801784	0.201336652
