 	credo	che	stanno	ancora	svegli	</S>
a31	0.209397884	0.123274	0.123202652	0.168618519	0.20266488	0.1728420628
a20	0.1747987192	0.1617300354	0.183622378	0.176577381	0.18790331	0.1153681944
a21	0.2505240304	0.1677933162	0.1536225136	0.151254314	0.1543975296	0.1224082794
a31	0.2169955026	0.1834653972	0.14656969	0.1540688714	0.163805505	0.1350950462
a37	0.223477878	0.157312325	0.156707146	0.165896784	0.181392138	0.1152137126
a31	0.2135877028	0.135491412	0.1440292062	0.146277998	0.1902190828	0.1703946086
a13	0.1726313816	0.123603436	0.145457776	0.164571207	0.188176368	0.2055598126
a31	0.1780921396	0.0968022532	0.12944208	0.164505573	0.222043268	0.2091146842
a20	0.166144504	0.0972561384	0.126053682	0.18315033	0.194275599	0.233119729
a31	0.144108079	0.089692638	0.117361327	0.1700678232	0.27937769	0.1993924414
a39	0.1640439616	0.0841087988	0.101605551	0.1721216426	0.218308784	0.2598112726
a18	0.1464594424	0.0823366288	0.1069913378	0.171972311	0.329762602	0.1624776754
a33	0.1511379518	0.0889208698	0.1065473226	0.163197317	0.287722454	0.2024740504
a39	0.1768584458	0.0876280114	0.0922539268	0.1559541652	0.266235875	0.2210695534
a31	0.22996874276	0.1169886998	0.100390648	0.1516157526	0.245113662	0.1559224666
a39	0.2073802004	0.1051073668	0.103806448	0.179179634	0.263968862	0.1405574886
a33	0.1937365768	0.094328054	0.087372252	0.171507275	0.271544947	0.1815109198
a8	0.19527776614	0.1125834622	0.1079007636	0.2099700768	0.224910534	0.1493574168
a31	0.1964699997	0.103965727	0.1159326472	0.191418318	0.252811764	0.1394015422
a7	0.286279385	0.1101111468	0.1036053892	0.149579222	0.2047624528	0.1456624256
a31	0.19512566546	0.1197714696	0.1217130508	0.173320206	0.203898944	0.1861706474
a3	0.2746329402	0.113739264	0.1038041156	0.13812248	0.157955586	0.2117456008
a31	0.1895536232	0.1088277192	0.1191082974	0.17512802	0.209607128	0.19777522
a13	0.283198504	0.1176894266	0.103178498	0.1359072512	0.1430233254	0.21700299
a20	0.17534975	0.1200542856	0.13071343	0.163265826	0.230180522	0.180436168
a7	0.192410809	0.1125459856	0.1124607576	0.158677708	0.210604086	0.213300656
a35	0.1811443792	0.1115841274	0.1203175976	0.174534687	0.203586356	0.208832866
a31	0.1845411146	0.123587178	0.133968232	0.20354796	0.195525134	0.158830397
a20	0.21816684526	0.1117759366	0.1087186548	0.150466139	0.20139578	0.209476658
a31	0.14501224034	0.1138003068	0.127735132	0.18561112	0.216381848	0.211459346
</S>	0.2117149748	0.1252362732	0.115060826	0.1401774388	0.181535241	0.226275281
