 	hai	già	mangiato	</S>
a31	0.252371	0.249497452	0.258548374	0.23958317
a37	0.336126012	0.291592922	0.214372614	0.1579084546
a31	0.372184148	0.255097261	0.212113888	0.1606046914
a46	0.340943992	0.270901384	0.237180244	0.150974378
a31	0.277304628	0.2523613568	0.276298996	0.19403501
a39	0.239560138	0.258338724	0.29233996	0.209761172
a20	0.202666922	0.247073452	0.31034311	0.239916526
a31	0.24536397	0.228192	0.272304912	0.254139102
a46	0.23117726	0.197380452	0.247594622	0.3238477
a31	0.191755656	0.196009807	0.301727286	0.310507232
a18	0.2296532052	0.1902551914	0.236259262	0.343832346
a24	0.1949737312	0.2024633414	0.292625084	0.309937848
a46	0.1723555584	0.2066123668	0.258609826	0.36242226
</S>	0.1809873424	0.2056225628	0.26213517	0.351254892
