 	non	aveva	da	stare	</S>
a37	0.1782720568	0.187531988	0.1757616008	0.2778946206	0.1805397326
a38	0.198669146	0.1663708384	0.1666466666	0.316122186	0.1521911666
a24	0.243979578	0.17331636	0.1190783394	0.318268122	0.145357605
a8	0.198036192	0.144647275	0.0703778882	0.4837103612	0.1032282912
a17	0.170440835	0.1178900468	0.0771157137	0.43437397	0.200179454
a31	0.209762783	0.1703945026	0.1045102058	0.373902026	0.1414304806
a20	0.162580952	0.129276749	0.090072048	0.47251394	0.1455563368
a8	0.1382661552	0.1068438808	0.0709395066	0.509209402	0.1747410806
a31	0.123450085	0.1100853072	0.099693381	0.430069368	0.236701878
a20	0.163004092	0.157792002	0.1399326568	0.379653055	0.159618184
a31	0.150202964	0.1347334886	0.1373446832	0.366011022	0.21170783
a8	0.155357618	0.1296214412	0.1091214744	0.325046919	0.280852531
a31	0.161459854	0.151534194	0.169846677	0.30445061	0.21270864
</S>	0.1759882044	0.1619954276	0.1514895196	0.2109630004	0.29956385
