 	aveva	lavorato	tutta	la	settimana	</S>
a31	0.161010146	0.1030036562	0.1354238336	0.1753649568	0.216656866	0.208540564
a20	0.338705553	0.0944029288	0.0772225588	0.221697092	0.15224594	0.1157259052
a31	0.426976502	0.1595480342	0.07535957	0.1486594747	0.1085352902	0.0809211312
a28	0.507725024	0.1317288261	0.0674700554	0.1207549018	0.0960456952	0.0762754942
a31	0.53218264	0.1045475964	0.0803551694	0.1116103274	0.094057787	0.0772464728
a13	0.523205036	0.121534131	0.0638473395	0.1183947076	0.100149168	0.0728695972
a18	0.565786186	0.0783641622	0.0626127756	0.0850611032	0.0968355404	0.1113402162
a31	0.40369718	0.0823879306	0.073825844	0.10608260834	0.1511649752	0.1828414604
a27	0.380023024	0.13487306	0.0886347556	0.1079550516	0.17019562	0.1183184914
a31	0.298676888	0.1217035058	0.102762262	0.1214012876	0.1584227732	0.19703326
a20	0.1866580346	0.1331244448	0.1293628412	0.1384794708	0.18915523	0.223219987
a31	0.168059904	0.1165276252	0.11475731072	0.1444394434	0.210895	0.245320704
a39	0.152055384	0.1268656134	0.125897737	0.158869572	0.186007508	0.2503042072
a31	0.140914116	0.1242998526	0.1262076238	0.1561260872	0.238071202	0.214381088
a33	0.1517033056	0.1343360188	0.14321923576	0.137772896	0.215480784	0.2174877528
</S>	0.146144235	0.1511116522	0.12210745	0.170934166	0.217778605	0.1919239052
