 	oggi	io	non	ho	cosa	da	fare	</S>
a46	0.1184104688	0.113499977	0.1058824484	0.1318513812	0.1372816188	0.1106393048	0.13117765	0.1512571102
a27	0.1097909008	0.1306532614	0.1164587938	0.126854986	0.14676387	0.155190764	0.140703781	0.0735836642
a8	0.1305517212	0.131263144	0.139411754	0.136735454	0.141695184	0.1177831612	0.1314098728	0.0711497296
a28	0.1168270908	0.165240863	0.184016001	0.131198934	0.119743707	0.091547138	0.1105111848	0.0809150572
a31	0.152983982	0.230648006	0.139733046	0.120965716	0.115000862	0.0618636612	0.0985361972	0.08026856
a24	0.1558671686	0.230916942	0.181699934	0.1192766858	0.1276316498	0.0496394002	0.0709210622	0.0640471794
a31	0.170397238	0.181557854	0.1166821108	0.1136949832	0.1348721132	0.0735607826	0.1093375766	0.0998973424
a10	0.207929034	0.2053401924	0.1233837454	0.106664081	0.117352838	0.053504895	0.0855398736	0.1002853172
a20	0.172112157	0.1734547158	0.0970988718	0.0945160052	0.1049710806	0.067354682	0.1685189032	0.121973566
a31	0.1590881928	0.170521403	0.0861315614	0.0876012468	0.1121402896	0.0508197956	0.1834851526	0.1502123702
a39	0.150509031	0.1757895056	0.101680374	0.103208048	0.1181729666	0.07319155	0.1551813396	0.1222671702
a31	0.1345125276	0.1809608868	0.114865863	0.1128887784	0.1206234334	0.0778239836	0.1461492602	0.112175242
a18	0.138764329	0.200545578	0.1020857712	0.0866210672	0.0830293636	0.079216252	0.1160841686	0.1936534852
a31	0.11805415328	0.2016007976	0.122396917	0.1236663848	0.116057956	0.0805316494	0.126436912	0.111255239
a17	0.1156471838	0.143766794	0.1079318728	0.0949756388	0.0770500034	0.0858701912	0.1389574908	0.2358008608
a31	0.0973827532	0.1427418086	0.1176389326	0.1153449178	0.134549173	0.102386258	0.130063602	0.159892566
a8	0.1140607952	0.1224896166	0.119915408	0.1035502214	0.100354536	0.111642302	0.1380719906	0.189915156
</S>	0.0896758416	0.1071349364	0.0973406908	0.1010802904	0.129677455	0.1237013528	0.153049092	0.19834035
