 	Maria	ora	sta	vicino	a	me	ma	sta	dormendo	</S>
a31	0.1020476986	0.097243867	0.0907173232	0.101318865	0.1103591124	0.1155288104	0.0718061554	0.1075583388	0.0701510144	0.1332688048
a1	0.0724887236	0.11352704774	0.082935593	0.120870009	0.1101195932	0.135803419	0.0881958856	0.125751298	0.0806373462	0.0696710904
a31	0.1113484518	0.156013344	0.109561078	0.1260356866	0.1077319994	0.0966776556	0.04807326746	0.0875088084	0.1056991028	0.051350572
a24	0.1115681024	0.1541157172	0.1264916016	0.1327770028	0.1091447554	0.0985078188	0.06960763024	0.0939295504	0.0534822664	0.0503755842
a31	0.0737521512	0.10736824288	0.114422016	0.173997238	0.1201906312	0.107691253	0.0668423854	0.1006266596	0.062279244	0.072830142
a37	0.0686595556	0.1444338782	0.1100581042	0.171781016	0.1509751312	0.136366855	0.0605479304	0.0749886764	0.0352497095	0.04693917668
a31	0.05336768932	0.1105487526	0.0792592694	0.147487929	0.1049764446	0.1253862854	0.0753977684	0.1176961186	0.0928340428	0.09304571766
a17	0.0680935748	0.1384798466	0.081308831	0.195918132	0.1293380014	0.1169136144	0.0646077073	0.104579456	0.04459791252	0.05616291154
a31	0.05576837996	0.12552156712	0.06505368588	0.1547901088	0.0907584588	0.134239894	0.07673962534	0.1208414536	0.100238222	0.0760486013
a20	0.0696564278	0.1326168316	0.0697127792	0.182715296	0.1219884532	0.1582362408	0.0605754432	0.09720594	0.05203595128	0.0552566648
a17	0.0568789356	0.128334293	0.0610848304	0.1500006092	0.0921807768	0.1380187784	0.0742307934	0.133372844	0.090470441	0.075427701
a20	0.05988754968	0.12355137526	0.0599119809	0.182338172	0.1029537492	0.156520922	0.049256408	0.131690265	0.05998549796	0.0739040179
a8	0.0589451206	0.1194951066	0.0681642232	0.1423523274	0.1113211718	0.176144273	0.03833538502	0.1206899216	0.0929322966	0.0716201992
a31	0.0965044548	0.15878717446	0.0683037708	0.1222403186	0.1044868896	0.1586246368	0.041380116	0.1252511384	0.0637004944	0.0607209954
a37	0.0663856952	0.1244384872	0.0640819014	0.1600451616	0.0820628492	0.2389409102	0.0617773128	0.0714330386	0.061563274	0.0692713738
a13	0.055111052	0.1095057774	0.0655788012	0.1987974508	0.0868237286	0.1726509668	0.0541737402	0.0959225602	0.0716906856	0.0897452246
a31	0.0619244864	0.1023391626	0.0736511454	0.175477906	0.1116745804	0.198505696	0.0517095532	0.0846615742	0.0682705928	0.0717852806
a20	0.066447105	0.119578805	0.0605725998	0.1588584152	0.0727258724	0.212185194	0.0389120408	0.071449947	0.0637248288	0.1355452268
a31	0.0617188496	0.0984465622	0.0611285314	0.186850478	0.0730587122	0.1718629628	0.0469916928	0.0841438594	0.0909313868	0.124866983
a28	0.0733640538	0.1131057752	0.0646444018	0.1258865452	0.0652198728	0.2290885566	0.0597453532	0.070323317	0.0876084844	0.1110136176
a31	0.0681770014	0.0909317098	0.0612552726	0.1161442622	0.0612136676	0.2368096756	0.049063955	0.0645156204	0.1057559508	0.146132898
a17	0.0800238818	0.0970359046	0.0803954906	0.1170643638	0.0719056452	0.1753268492	0.0901464788	0.067862911	0.104081474	0.1161569974
a31	0.07902220086	0.092958078	0.073975765	0.0848779322	0.0623792672	0.2216260688	0.061024535	0.0712613166	0.112719487	0.1401553486
a8	0.0839973674	0.09347614	0.0997519314	0.09656974	0.083022546	0.114754631	0.1032652176	0.076217642	0.1106051872	0.138339606
a31	0.0934083402	0.1006636196	0.0838434908	0.077857283	0.0690965512	0.1400091116	0.0764111312	0.0967729454	0.1222262784	0.1397112392
a46	0.0820385968	0.091392041	0.108197684	0.0885922126	0.087739504	0.0918217576	0.1002379592	0.0833847332	0.1160250768	0.1505704384
a28	0.091740014	0.098359196	0.087642808	0.0779507012	0.0696370442	0.1288759838	0.0783678174	0.0930863414	0.113162393	0.161177713
a31	0.0754657614	0.0875151016	0.0880590672	0.1069815976	0.077825502	0.0791799098	0.0977907588	0.112358455	0.139711141	0.1351127048
a37	0.0811787816	0.09059733	0.1070822118	0.0890646508	0.0826406102	0.0865302202	0.0920356912	0.0931865636	0.1183929328	0.159291041
a24	0.0838720884	0.0940721172	0.0971068288	0.0942111192	0.076700765	0.0903186572	0.0892974988	0.094662487	0.1332755472	0.1464828868
a20	0.07226868566	0.0844849324	0.0828536868	0.1104559506	0.0742227224	0.088608433	0.091933129	0.1126636992	0.1715407478	0.110968008
</S>	0.0654758025	0.0750709876	0.0783351306	0.132440563	0.0801663108	0.082878829	0.0904496928	0.1221127936	0.1557231756	0.117346728
