 	non	ti	dimentichiamo	mai	</S>
a8	0.179174822	0.282020874	0.219896826	0.1409613564	0.1779461028
a31	0.34617236	0.25542574	0.22387672294	0.083152946	0.0913722234
a20	0.288450229	0.31534196	0.1914576752	0.1169577402	0.0877923934
a31	0.331537824	0.385285088	0.17797345041	0.0507576128	0.0544460122
a13	0.313677492	0.40756847	0.17664265178	0.0519714164	0.0501399748
a31	0.273423206	0.36610339	0.17787981258	0.0638093986	0.118784198
a13	0.267405422	0.406475764	0.169494745292	0.0593611447	0.09726292146
a1	0.19088168	0.400050068	0.17811634198	0.078510854	0.1524410662
a31	0.185476452	0.356394148	0.19383385846	0.081141813	0.1831536712
a41	0.2025306036	0.356592302	0.1949144214	0.10705337464	0.13890926014
a15	0.150606184	0.421190934	0.1833461562	0.1044680178	0.140388709
a13	0.17921118	0.389899138	0.1607176886	0.0822788158	0.1878931804
a31	0.2212794988	0.35269538	0.154852078	0.0690986114	0.2020744218
a11	0.194483672	0.3666294648	0.1769092454	0.115480615	0.1464969694
a31	0.218213249	0.29410749	0.1351043444	0.1463008704	0.2062740452
a46	0.1853441586	0.195256224	0.1902085594	0.17990467	0.249286399
a31	0.2062359794	0.1978190082	0.141037392	0.18975386	0.265153748
a46	0.1717425236	0.1517821418	0.1867513816	0.219980398	0.269743538
a31	0.197718058	0.1866270212	0.144345824	0.212523745	0.258785354
</S>	0.1788978948	0.1478543852	0.185483026	0.23443298	0.253331712
