 	vuole	vuole	mangiato	caldo	</S>
a37	0.196216792	0.2157414172	0.141036602	0.255016952	0.191988258
a31	0.297777084	0.277206042	0.1591223	0.1484376944	0.117456909
a41	0.364529088	0.35806358	0.121977061	0.080267076	0.0751631778
a31	0.351086185	0.255959038	0.17245671	0.111052941	0.1094450944
a11	0.381993784	0.282259798	0.1369146948	0.0996429676	0.0991887404
a20	0.330087051	0.256438544	0.158479868	0.1446557702	0.1103387662
a31	0.2680205712	0.230295342	0.162518998	0.17109464	0.1680704536
a18	0.29735543	0.155681592	0.14711774	0.1984866048	0.201358652
a31	0.22947737	0.1309999504	0.1181563816	0.245075696	0.276290582
a20	0.16169463	0.1241440936	0.145273986	0.289073724	0.279813564
a21	0.128543616	0.100384937	0.121947899	0.303668954	0.3454546
</S>	0.143135952	0.1153238074	0.141425007	0.310994988	0.289120254
