 	e	che	cucino	</S>
a31	0.357930024	0.262448086	0.144171295	0.2354506226
a24	0.3857918192	0.29475035	0.1159978388	0.2034599946
a31	0.521915882	0.22637618	0.1160536718	0.1356542692
a11	0.566108438	0.201567149	0.150947518	0.0813768865
a46	0.528306326	0.159229274	0.18447744132	0.1279869714
a41	0.538176946	0.147362228	0.1440267808	0.170434018
a20	0.511103818	0.1213260526	0.1349455924	0.232624544
a36	0.4297454824	0.1251920102	0.1276758502	0.317386682
a31	0.3363628694	0.1447559498	0.174145684	0.344735464
a46	0.19929358648	0.1875407108	0.281070014	0.332095698
</S>	0.1874318028	0.188458846	0.247854386	0.376254976
