 	può	che	sono	ancora	svegli	</S>
a31	0.132008942	0.139009294	0.125983302	0.215954966	0.225496538	0.1615469392
a7	0.134717165	0.1738262452	0.1146910192	0.180723372	0.224249878	0.171792326
a31	0.1336877112	0.276809312	0.0798912696	0.1674550972	0.208272758	0.1338838528
a7	0.1549480302	0.29233921	0.0873734544	0.1548353752	0.2224517802	0.0880521132
a31	0.142703995	0.3219991752	0.0859123204	0.137419137	0.2032980854	0.1086672722
a37	0.1155957314	0.233111055	0.09070613688	0.1615149334	0.243363692	0.1557084754
a31	0.1076553538	0.273615842	0.1407800446	0.144190504	0.2134152388	0.1203430258
a39	0.111894666	0.1895178704	0.1136501612	0.158381288	0.265530936	0.1610251082
a31	0.0912946896	0.189277572	0.140563341	0.1505840974	0.24304491	0.1852353714
a20	0.0962797292	0.15190574	0.1315413118	0.158175252	0.249009912	0.213088058
a31	0.0862465946	0.1400000308	0.1394493148	0.161159747	0.2233049188	0.249839374
a46	0.0996030494	0.1305251752	0.16431404	0.199195384	0.185414994	0.220947358
a8	0.1093367678	0.11751204	0.1378271714	0.199765608	0.214473713	0.221084706
a46	0.1056760072	0.1208178122	0.1414780306	0.198046812	0.2262141332	0.207767256
a8	0.11575461096	0.1399481386	0.13745625112	0.14912419	0.242978854	0.214737974
a31	0.1159564712	0.14166092352	0.1487870132	0.172425956	0.2198385	0.201331134
a20	0.12290935688	0.1653954274	0.1684946562	0.1286016822	0.188142596	0.226456289
</S>	0.11323838156	0.14016284638	0.16824078174	0.1395892474	0.1848877192	0.253881018
