 	ancora	sto	cucinando	e	non	sono	pronto	</S>
a8	0.107650188	0.0906443236	0.1109835984	0.1119181288	0.1251093392	0.0953594452	0.185838966	0.1724960114
a31	0.134575367	0.109978577	0.1204301062	0.1253416758	0.116748772	0.0956766578	0.177011184	0.120237628
a37	0.1926594326	0.1425505746	0.147660938	0.141652042	0.1146040684	0.0629820601	0.10950639314	0.08838448404
a20	0.18467684	0.1492061354	0.154172342	0.145832204	0.139475056	0.0462721852	0.08844880152	0.0919164346
a29	0.164858862	0.1124303412	0.117706716	0.1308999156	0.1118709308	0.0503899448	0.17003122328	0.1418120758
a14	0.140310676	0.097278472	0.1086177692	0.1431676614	0.12194204546	0.03749692688	0.20820812232	0.14297832728
a21	0.135058918	0.0886760148	0.1017204028	0.12354399784	0.10025783978	0.0360955626	0.2164137618	0.1982334756
a31	0.1212398896	0.0851286214	0.0989142218	0.1207784154	0.08828002316	0.03214066424	0.2087225656	0.24479559054
a20	0.196117464	0.09925599292	0.1125142068	0.124846581	0.0813611298	0.024971749	0.2436029036	0.1173299758
a6	0.0841911472	0.0607196913	0.10834917756	0.1260479831	0.0824134644	0.03679279432	0.28997297646	0.2115127372
a31	0.0815131424	0.0545981772	0.10446336216	0.1232868336	0.08964484928	0.0402522002	0.2909985528	0.2152428889
a8	0.108895322	0.0665336346	0.1061132632	0.12220379606	0.0853295302	0.035208207	0.3111211624	0.1645950786
a20	0.0748124666	0.04803231586	0.09648086156	0.12637658926	0.1090036774	0.0696528542	0.3718271494	0.103814108
a31	0.10650552182	0.07704027204	0.09388379522	0.11712472986	0.1141054176	0.0635811412	0.273502171	0.1542569754
a37	0.105800941	0.0756416452	0.09451650896	0.113206189	0.1000296074	0.065630548	0.2786983246	0.1664762186
a31	0.13429749838	0.07425698826	0.09006929606	0.11385012014	0.1169644868	0.0908670748	0.219675234	0.1600193056
a24	0.1027278602	0.0923544784	0.0991053144	0.109849706	0.111813189	0.105380262	0.245206734	0.1335624868
a31	0.11064514774	0.0745254953	0.07648219592	0.0864042124	0.12110245	0.150365506	0.222421432	0.158053582
a20	0.1187181336	0.1133480536	0.1031449284	0.1087134304	0.1278743858	0.133707635	0.1565942	0.137899243
a31	0.10250199984	0.094202596	0.08344157692	0.0952296108	0.1087725548	0.146139314	0.20416136	0.16555101
a7	0.1330405134	0.1178315588	0.0976496094	0.1104888388	0.119011138	0.143471778	0.145010996	0.133495582
a35	0.10565123552	0.1135856592	0.079226551	0.0902968134	0.1110138032	0.1558175896	0.188894259	0.155514077
</S>	0.0895988309	0.10581830992	0.0842343802	0.129981239	0.139580682	0.1441205468	0.164973848	0.141692164
