 	le	ragazze	vogliono	guardate	</S>
a10	0.17702081	0.170495308	0.153462083	0.258953878	0.240067936
a20	0.178805498	0.0950748164	0.29828535	0.275587214	0.1522470834
a31	0.2303064848	0.158339161	0.228000744	0.26400768	0.119345945
a20	0.2575971772	0.1451956906	0.190616196	0.3038040548	0.102786884
a11	0.1859907848	0.155117423	0.254354878	0.2951078172	0.1094290582
a31	0.1511805814	0.1133177688	0.281473225	0.292779778	0.16124863
a0	0.1374739628	0.0969963212	0.249181372	0.384396849	0.1319515088
a31	0.1020633972	0.072795759	0.1692100288	0.369991714	0.2859391
a39	0.0945884568	0.0757409128	0.1486295714	0.485117276	0.1959237714
a18	0.0705938048	0.0584923246	0.139790993	0.467599136	0.2635237488
a31	0.0864242216	0.0639586674	0.132522504	0.423543982	0.2935506098
a8	0.104801896	0.0892819	0.1295197888	0.447388622	0.2290077926
a31	0.0936638342	0.1010077172	0.1178305732	0.428387544	0.25911034
a46	0.1131662883	0.1296369656	0.1266497946	0.345312766	0.285234188
a18	0.1121444298	0.134737771	0.1094197634	0.351322504	0.2923755432
a35	0.1213235214	0.1525957054	0.126468969	0.301556174	0.298055676
a31	0.1152555066	0.1466612227	0.1522081748	0.322934502	0.262940608
a39	0.1368664614	0.136208385	0.1319220012	0.315904724	0.279098446
a8	0.13353542714	0.1510082442	0.126922368	0.2840467548	0.3044872128
a23	0.1384543809	0.1506032761	0.157034067	0.334833404	0.219074867
</S>	0.13811515034	0.13841376782	0.168547543	0.343809252	0.2111143
