 	dovevo	comprare	il	pane	</S>
a31	0.221981036	0.18653576	0.221309414	0.197760225	0.172413532
a46	0.270633434	0.1768007886	0.227877462	0.21717488	0.107513448
a31	0.314969827	0.1477464148	0.1823821368	0.2282546874	0.126646941
a18	0.331449432	0.1316378136	0.193867662	0.235872792	0.1071722822
a13	0.27051089	0.148061709	0.198397284	0.215588592	0.1674415198
a0	0.283550526	0.1424927046	0.2171798508	0.214940812	0.1418360826
a20	0.2371484856	0.1289719646	0.255838187	0.216590642	0.1614507352
a7	0.280246205	0.1323667598	0.2173512768	0.190851434	0.179184284
a20	0.2603666726	0.1328604844	0.20292731	0.201049152	0.202796404
a31	0.2679100494	0.130773108	0.189908058	0.218000654	0.193408146
a11	0.216036047	0.15189356	0.187086686	0.207254048	0.237729662
a39	0.2036698924	0.1302285348	0.1768852552	0.192327691	0.29688861
a31	0.201817608	0.1275764852	0.1744728144	0.211750542	0.284382538
a13	0.234467082	0.145149578	0.169901106	0.224909422	0.225572782
a17	0.2193430172	0.1487294132	0.16685865	0.224185265	0.240883654
a31	0.1868046099	0.1632992036	0.1615926646	0.2263376832	0.261965824
a46	0.201993818	0.1584309054	0.158391454	0.182114254	0.299069556
a20	0.1813866694	0.17377753132	0.169454992	0.2581734588	0.217207342
a31	0.1846669856	0.17469028926	0.1618676792	0.244032513	0.234742498
</S>	0.2065294616	0.1661789694	0.1571585868	0.191438342	0.278694616
