 	io	non	ho	cosa	da	mangiare	</S>
a31	0.138849566	0.12488611	0.1319476372	0.147083766	0.112217187	0.194565698	0.150450008
a37	0.236832008	0.153617108	0.11812466	0.1366520398	0.0784725512	0.173080487	0.1032211448
a31	0.26202299	0.191794514	0.140177221	0.1330045164	0.0721944512	0.1350164588	0.0657898404
a18	0.275289188	0.1929109608	0.1512724928	0.151968616	0.0683426326	0.1133909398	0.04682516794
a31	0.314457104	0.173029474	0.141577454	0.135080198	0.05399333968	0.131896511	0.0499659388
a11	0.252474333	0.159000274	0.1598247328	0.2045567952	0.0505495844	0.1231615536	0.0504327539
a37	0.30112496	0.136761488	0.1330927614	0.1420398172	0.0581281812	0.141367766	0.087485032
a15	0.290466974	0.1139271672	0.1408674572	0.175114058	0.0472045374	0.130517828	0.1019019888
a39	0.250556712	0.1288237144	0.1629613294	0.167645298	0.050782807	0.1340060246	0.1052241252
a31	0.231513376	0.129136587	0.12954904	0.162745366	0.0551991864	0.177091417	0.114765036
a39	0.251065135	0.1193630742	0.0770830312	0.098103341	0.0609012598	0.179377268	0.2141068902
a20	0.164512872	0.1160633702	0.1044860926	0.157457608	0.090492085	0.2104242548	0.1565637158
a24	0.162216604	0.123568872	0.1069329672	0.1152596796	0.097963442	0.2354237332	0.158634687
a31	0.140529917	0.142959661	0.123804158	0.1015315424	0.113715407	0.206487956	0.170971364
a46	0.1457149509	0.1305958428	0.1016929102	0.0985676566	0.1325641598	0.121590383	0.2692740778
a31	0.11135845024	0.1296515324	0.11902258332	0.0993970572	0.1117570892	0.198712096	0.230101183
a3	0.1446812612	0.1433291994	0.1179082976	0.1043973122	0.1091701524	0.14160776	0.238906024
a31	0.1129612798	0.1396611336	0.1307476364	0.108785905	0.11479719	0.1806453088	0.212401562
</S>	0.1485031176	0.147961277	0.1229304548	0.1062272928	0.1089562196	0.158655562	0.206766074
