 	voglio	che	Maria	viene	domani	</S>
a33	0.166913888	0.161345742	0.136891689	0.165632724	0.1313179412	0.237897986
a31	0.3518120714	0.256478358	0.06453585412	0.1513012916	0.0788059904	0.0970664256
a11	0.371510494	0.278744452	0.0912235452	0.1446901732	0.0532032972	0.0606280468
a31	0.3220798168	0.269031062	0.1098767836	0.148267712	0.0755336094	0.0752109744
a18	0.338336532	0.31363718	0.108696876	0.1189580288	0.0593156306	0.0610557986
a31	0.322514254	0.2872285092	0.1064973098	0.1374531352	0.0748079266	0.0714988476
a42	0.321204678	0.339640258	0.0868333948	0.1111804118	0.0698194154	0.0713218468
a37	0.210997992	0.2244569082	0.0770313732	0.2027067662	0.116253667	0.168553261
a31	0.203318481	0.2077167686	0.0892629964	0.2044342106	0.133877126	0.1613904272
a20	0.1589751532	0.1266554496	0.085273578	0.2427229816	0.171882456	0.214490358
a31	0.161773697	0.1152566506	0.0830782072	0.203662768	0.194025138	0.24220352
a8	0.1164730382	0.084831283	0.088733226	0.2164644512	0.230684502	0.262813514
</S>	0.1045523438	0.0906900798	0.0833619376	0.1875115988	0.25430086	0.279583168
