 	da	da	un	famoso	poeta	</S>
a31	0.1430793048	0.130888063	0.1969118	0.1586220552	0.220906484	0.1495922948
a37	0.170248948	0.1107569656	0.267989888	0.1068680604	0.19843208	0.1457040274
a31	0.2308854188	0.1242434552	0.290082483	0.0980179038	0.1451399064	0.111630833
a28	0.268818708	0.1502367944	0.2754659874	0.1001106685	0.13246175	0.0729061
a31	0.232360312	0.157584864	0.269832362	0.098987912	0.1484515984	0.092782966
a20	0.216504824	0.1039384636	0.297026064	0.117485343	0.143426307	0.1216189553
a13	0.141882832	0.172921356	0.2883633086	0.0876763078	0.1334893254	0.1756668568
a39	0.1649893718	0.143952222	0.2842418128	0.0786591054	0.163972158	0.164185324
a31	0.146195082	0.183978705	0.2404199404	0.095753557	0.1744424004	0.159210314
a35	0.209506116	0.13005491	0.2331441042	0.147543544	0.128792422	0.150958893
a31	0.19083937	0.116644357	0.16630186588	0.1162842788	0.1517803144	0.258149828
a17	0.176325684	0.1257496368	0.1530364182	0.147809582	0.1725712	0.224507495
a31	0.1435877468	0.12329321234	0.1556502676	0.1301657752	0.1989330532	0.248369956
</S>	0.1742738352	0.1379996132	0.1403367152	0.140095637	0.175552223	0.231741969
