 	i	genitori	non	li	dimentichiamo	mai	</S>
a33	0.118583209	0.1083514592	0.1134190764	0.1445808304	0.178769006	0.174520996	0.1617754272
a31	0.150256111	0.218141893	0.1441530612	0.14501624674	0.179701673514	0.0803646208	0.0823664342
a8	0.15210799	0.170872802	0.1555157948	0.1464558115	0.18809544806	0.0701678314	0.116784306
a31	0.11378772	0.1460744292	0.20921828	0.1507372866	0.18085749272	0.0877424748	0.1115822792
a8	0.171619916	0.13740625	0.259375972	0.1483532002	0.16048112093	0.0576737516	0.0650897564
a31	0.172315878	0.230657836	0.159246832	0.1438657191	0.185554065868	0.0497325888	0.058627049
a46	0.2200292492	0.1818284726	0.191781613	0.1476594028	0.160287248782	0.05027298294	0.0481410224
a31	0.146021964	0.1605482358	0.157919744	0.1517480612	0.19207903508	0.073697025	0.1179859146
a39	0.1841786588	0.173453616	0.2226783264	0.1479651936	0.17328850006	0.0505550524	0.0478806414
a31	0.1523532064	0.1254386572	0.1843126494	0.1473100344	0.2052552112	0.0503823642	0.13494787506
a24	0.1717264906	0.1280024882	0.1720357138	0.1511980544	0.2294294818	0.05929535088	0.08831244926
a15	0.134020379	0.1282104688	0.1477731154	0.1439096906	0.2348875306	0.0544588278	0.15673999292
a31	0.1320942478	0.1059806734	0.1080134106	0.1359730406	0.2641928014	0.0697168286	0.1840290036
a28	0.1727256458	0.1116599878	0.1243031876	0.1306628274	0.2809882784	0.0695490312	0.110111029
a31	0.155224462	0.1130244402	0.1050538662	0.1116943296	0.2881623362	0.0956795464	0.1311610351
a18	0.1744912622	0.109070363	0.1035475476	0.111019686	0.2820807366	0.0854986646	0.1342917376
a31	0.1616534972	0.1087549242	0.103234181	0.0949576368	0.27531354	0.1190487972	0.1370374416
a20	0.1819124464	0.1175141798	0.0998506598	0.1021012216	0.224702638	0.0996791634	0.174239658
a11	0.1720713556	0.1200614842	0.1120859776	0.0923760124	0.2095773916	0.138645763	0.155182025
a13	0.166547122	0.1375690186	0.1171832182	0.0925275634	0.229281627	0.130594887	0.126296512
a17	0.1488974302	0.1418305622	0.0970228686	0.1015343006	0.2428617054	0.1313191088	0.136534041
a20	0.11863577566	0.1212530866	0.09711096	0.1103874872	0.245224266	0.1396257124	0.167762683
a39	0.1151103989	0.1071554074	0.0984176846	0.1213640876	0.252584694	0.14148947	0.1638782454
</S>	0.1211932171	0.1395751738	0.09605015	0.106529838	0.237079298	0.129635286	0.1699370298
