 	si	è	rotta	la	coppa	</S>
a31	0.192575733	0.126761713	0.171162502	0.1251779752	0.2651835332	0.119138561
a20	0.242648268	0.1042874065	0.1846700204	0.156214318	0.1676629228	0.144517061
a19	0.2774136416	0.0839815081	0.1517130244	0.1335698954	0.2132043144	0.1401176406
a18	0.362195216	0.1244182202	0.148727046	0.1542344722	0.1070750512	0.1033500014
a27	0.339496573	0.1039577838	0.1360305694	0.1664887708	0.1125808004	0.1414454912
a31	0.291770766	0.0997354732	0.1450732826	0.10440096	0.1454261194	0.2135933982
a39	0.2182151526	0.128333515	0.1364866304	0.1054298391	0.1195232012	0.292011664
a31	0.1960631392	0.0985576508	0.1296429775	0.11330827132	0.15417343	0.308254506
a46	0.1996726282	0.1453996454	0.0950199786	0.1001400644	0.193003574	0.26676414
a31	0.141713874	0.124701806	0.106670347	0.107891472	0.24563967	0.273382806
a20	0.197101814	0.125220936	0.0907088798	0.10828576	0.233376274	0.245306346
</S>	0.178499358	0.1427275202	0.1075205692	0.1172360092	0.219910142	0.2341064
