 	non	vieni	alle	sette	perchè	io	non	sono	pronta	</S>
a8	0.0774609486	0.0596074806	0.060681876	0.0777456362	0.117150526	0.1191180486	0.10470797	0.0830604798	0.1416034872	0.158863539
a31	0.0512550918	0.083009849	0.0624129812	0.0734789388	0.1812006812	0.26688039	0.112365099	0.0491530006	0.0793844734	0.0408595037
a7	0.06588637068	0.084176944	0.0749221446	0.0880998336	0.229917785	0.199643295	0.1119859012	0.0479267332	0.0658423136	0.03159869926
a24	0.11417405	0.0672704388	0.0815301072	0.069067704	0.179608924	0.193152334	0.1301401144	0.0500515708	0.0704277994	0.0445769312
a38	0.0839084742	0.0713277438	0.0806408208	0.082443425	0.1794031052	0.217443982	0.1329505642	0.0425785064	0.0624507722	0.0468525872
a31	0.068879935	0.0648574646	0.082733898	0.0911911114	0.183171618	0.187863596	0.119591721	0.04198333906	0.0968498998	0.0628774324
a10	0.064001608	0.0907118738	0.0738706006	0.09635354928	0.218275398	0.176407712	0.1404967616	0.0508909733	0.04659003	0.042401516
a11	0.044452715	0.06367944174	0.04805350868	0.058994522	0.201685538	0.186624012	0.1916975512	0.0853306342	0.06952281274	0.0499592899
a31	0.0519737386	0.05869608048	0.05720877804	0.061753555	0.1864896572	0.205754768	0.182106736	0.0629288678	0.088393892	0.0446939324
a20	0.040878266	0.08115211364	0.0587223445	0.0660297944	0.2430236616	0.171508836	0.1497376858	0.0742237426	0.0443291926	0.0703943536
a10	0.038539681	0.04369513776	0.0489304198	0.06244394048	0.232136428	0.237386628	0.164281657	0.06831540492	0.0555539748	0.0487167458
a31	0.03547630154	0.0399397163	0.05880063716	0.06817161846	0.209370236	0.217896194	0.183509006	0.07418886626	0.0671099912	0.04553740922
a21	0.03361785806	0.06225745896	0.04643670628	0.0583389588	0.255176998	0.205538388	0.153049906	0.0663534482	0.03518602546	0.0840442512
a31	0.03280609308	0.0514295388	0.04879770728	0.0685337104	0.250705598	0.2205938852	0.169469718	0.0563188708	0.0406641882	0.06068067208
a20	0.03767028198	0.07322008516	0.03711428036	0.0408432781	0.2244248962	0.2243244488	0.166435025	0.0549556988	0.0390291966	0.10198284372
a13	0.03368395192	0.06052563414	0.04961755968	0.061832017	0.2385268928	0.273034528	0.1384006712	0.0405849268	0.0369177427	0.06687606188
a31	0.03410729616	0.06713065752	0.05946841558	0.0585657878	0.2569233914	0.293397292	0.0995916316	0.0397257272	0.03068619752	0.06040361806
a41	0.03761027364	0.07360074016	0.03590047634	0.0354893988	0.236776822	0.2901843606	0.1031669136	0.043748705	0.0527620584	0.0907602958
a35	0.04029650922	0.07656857578	0.0527066597	0.0486889968	0.221279196	0.292598135	0.0905337074	0.0475582548	0.03717324834	0.0925967504
a31	0.0325607609	0.11136964948	0.055247416	0.0441255452	0.264963342	0.206115724	0.0957418474	0.0674379382	0.0603724592	0.062065329
a24	0.04100541868	0.0440269602	0.0406461012	0.0408466146	0.2461271768	0.2385382628	0.0773412374	0.0630868772	0.1175465598	0.0908347678
a37	0.0445523554	0.0577093666	0.04500604666	0.04471893086	0.1818473128	0.2108054936	0.095532526	0.099850729	0.1021800604	0.117797164
a27	0.0423481628	0.0957090542	0.0502360014	0.0504437858	0.2138680048	0.203305292	0.0916426608	0.083917606	0.0700184834	0.0985109432
a20	0.04048663118	0.06296609654	0.0494285293	0.0508197074	0.182931659	0.255271236	0.145920742	0.0727639788	0.0585124908	0.0808989566
a31	0.0401210798	0.0669401804	0.05953185	0.0587572307	0.207283417	0.2077257172	0.140531022	0.0708658862	0.0632032476	0.085040369
a37	0.0725896587	0.069988859	0.06949789908	0.0641040556	0.1711306608	0.1195331052	0.0753092254	0.097517136	0.1578130132	0.1025163774
a31	0.0622592508	0.0814217516	0.0659377586	0.0643537134	0.1284382646	0.148148963	0.1145311182	0.1145173652	0.0834122668	0.1369795438
</S>	0.09327242926	0.082617981	0.08726892072	0.0793676493	0.0843247558	0.0868931274	0.083034572	0.0947201908	0.17936552	0.129134878
