 	mi	si	gonfiò	il	dito	</S>
a31	0.194313044	0.16492786	0.172150314	0.183170552	0.141579328	0.1438589108
a11	0.332757518	0.2042112702	0.0837713246	0.21636394	0.0688141792	0.094081766
a31	0.396871136	0.197012091	0.0890315174	0.2037049024	0.0447630708	0.0686172742
a15	0.462057016	0.2042840928	0.0787754368	0.1732497486	0.0374017123	0.0442320078
a31	0.411765358	0.1666262548	0.1140446622	0.176757044	0.0604630042	0.0703437128
a0	0.429164796	0.207774314	0.0735129695	0.162465808	0.0705047946	0.056577308
a46	0.285375354	0.144673064	0.1554134094	0.182518958	0.0968135378	0.1352056846
a31	0.329956234	0.1526308	0.0981937284	0.1524199766	0.1033548822	0.16344436
a18	0.303384874	0.196041388	0.0913928124	0.156395732	0.1251392992	0.1276459066
a31	0.229042254	0.158826394	0.103620525	0.1594954546	0.1319246488	0.217090734
a24	0.2382758748	0.151849466	0.1138760572	0.1345685648	0.1949054048	0.166524626
a28	0.199061645	0.1329280912	0.1079095414	0.1480015474	0.173160752	0.238938448
a13	0.1773461812	0.1236124932	0.1287704308	0.1246449468	0.256184068	0.189441916
a20	0.18060693	0.143956	0.145952752	0.1564977902	0.18099213	0.1919943852
a17	0.172249181	0.14217808	0.16572479	0.222417926	0.148330594	0.149099462
a39	0.1509462672	0.1374026706	0.1721267436	0.245097274	0.1361243748	0.158302644
a20	0.157244259	0.1433987306	0.1473747924	0.223523644	0.16493409	0.163524504
a31	0.1938245916	0.1426059968	0.1429926912	0.207497108	0.150820332	0.162259284
a41	0.21553045744	0.13229862232	0.11633891848	0.1376558432	0.184364712	0.2138114552
a8	0.17553670834	0.14144902412	0.1393307377	0.165619074	0.201284972	0.17677948
a37	0.1629855362	0.150136217	0.1496559766	0.151211249	0.2115063992	0.17450463
a8	0.15775041234	0.1385584694	0.1362736886	0.175015958	0.22627683	0.1661246408
</S>	0.179050998	0.1515526596	0.1463701892	0.144871028	0.187423596	0.190731516
