 	la	pasta	vuole	sale	</S>
a31	0.200406434	0.227059736	0.176376154	0.20780228	0.1883553728
a15	0.291250414	0.254040462	0.163734654	0.2037503406	0.087224169
a31	0.251605452	0.2221411012	0.146246172	0.259608606	0.1203986606
a13	0.3193321412	0.255747106	0.1192255216	0.2312341484	0.0744610962
a31	0.258037338	0.23705531	0.121474479	0.2652763208	0.1181565582
a6	0.226434856	0.28193668	0.128966162	0.252909538	0.109752759
a31	0.23352145	0.250117638	0.1208032528	0.27406824	0.121489387
a46	0.196578314	0.213161258	0.121401146	0.272021956	0.196837348
a31	0.2133725148	0.195269296	0.108932224	0.303895772	0.178530206
a46	0.166766818	0.173516909	0.128306398	0.2705858	0.26082408
a20	0.162700122	0.148965759	0.1206935472	0.325530208	0.24211035
</S>	0.14430594868	0.1561008114	0.14058304	0.268108592	0.290901598
