 	sta	seduta	nel	giardino	nel	giardino	</S>
a33	0.1406963842	0.0901767176	0.092579918	0.1071766732	0.143747668	0.186039716	0.2395829492
a31	0.13626176	0.1249715816	0.1119355998	0.101027456	0.1340974876	0.206699586	0.1850065332
a20	0.1517936588	0.1032041384	0.1198835656	0.1031232172	0.141986914	0.1960064372	0.1840020762
a31	0.1802131032	0.1152399312	0.164393059	0.1004310726	0.149434482	0.171015686	0.119272692
a20	0.167583335	0.0774206704	0.173421385	0.0898958402	0.1682331748	0.211222481	0.1122231092
a38	0.1563867886	0.07279741826	0.0938664434	0.1122382606	0.141349613	0.1742507326	0.249110753
a31	0.169592964	0.07205016128	0.0727852788	0.1073160684	0.140421666	0.1930299374	0.2448039496
a29	0.20654749	0.085996215	0.1040623072	0.0974655312	0.1113299488	0.2050942996	0.1895042098
a20	0.1543406308	0.065977786	0.0993721396	0.10570096696	0.1204163978	0.2299000086	0.2242920878
a31	0.1230235972	0.0603196418	0.094409526	0.099176012	0.1240338096	0.2504267422	0.2486106948
a20	0.227160538	0.098766824	0.0999299562	0.0877093166	0.0998548414	0.23663487	0.14994367
a46	0.147031772	0.0914624638	0.1693755932	0.0908488372	0.106430965	0.2348990356	0.1599513408
a31	0.135448533	0.1247273004	0.1146326566	0.079394684	0.11187615	0.216955556	0.2169651182
a20	0.235461498	0.1142130678	0.1002081584	0.1406357608	0.0890687332	0.198218702	0.122194072
a31	0.184477966	0.1208100484	0.1435874168	0.0802512514	0.0997021305	0.2006414628	0.1705296844
a39	0.198083106	0.1263231668	0.1171968692	0.1293635952	0.0940515592	0.184231976	0.1507496988
a0	0.1658692718	0.1181320754	0.1199667352	0.092322661	0.0986576702	0.201907568	0.2031440012
a20	0.1304801212	0.1119920052	0.091461362	0.1103713092	0.1183259732	0.222619542	0.214749714
a23	0.1118935578	0.0981459026	0.088445609	0.125375602	0.136602126	0.240449886	0.19908731
a31	0.1085874823	0.0919637324	0.096184451	0.1031372114	0.1358232092	0.247407152	0.21689675
a20	0.133981947	0.1159377226	0.1216447492	0.127042733	0.120954388	0.174678112	0.2057603308
a31	0.11944844	0.1118378114	0.1106716412	0.125718731	0.1172374356	0.177209328	0.2378766168
a46	0.1437696716	0.1254939788	0.137671503	0.1253145777	0.109745112	0.158383326	0.1996218406
</S>	0.122164871	0.11744207592	0.10265893092	0.1146590548	0.117661128	0.204342602	0.221071348
