 	ho	messo	uno	specchio	sul	muro	</S>
a8	0.123751654	0.1221569422	0.1008147268	0.1072062412	0.1577488028	0.21075888	0.177562716
a31	0.162423292	0.1145417008	0.0728314194	0.0552277064	0.1728864652	0.258048298	0.1640411206
a17	0.168700677	0.1409129748	0.0948160336	0.0724612202	0.1710418892	0.2265785102	0.1254887016
a11	0.1716994948	0.2324529644	0.0946475954	0.0903816134	0.1698916442	0.1643387172	0.0765879416
a31	0.1833420548	0.195466074	0.1121248564	0.070392439	0.154819852	0.2075483774	0.0763063354
a20	0.1515117	0.1776934412	0.092629731	0.0553992598	0.1660355906	0.251144376	0.1055858899
a31	0.113907157	0.130788115	0.068724038	0.0838042826	0.190753098	0.24761234	0.1644109608
a37	0.1700300194	0.1373027	0.05689878836	0.0910047777	0.1963687496	0.204902554	0.1434924222
a24	0.0945745506	0.0882982852	0.0393570882	0.0518022118	0.171007805	0.264099892	0.290860187
a28	0.0757051252	0.0845385664	0.044486944	0.050285865	0.1869748424	0.245244892	0.3127637972
a31	0.0672799362	0.0874612768	0.0430608836	0.0558549854	0.208854266	0.246559524	0.2909291374
a24	0.1272825904	0.0828806266	0.066479208	0.06714997	0.1617069614	0.2637353278	0.2307652954
a35	0.0989284444	0.0859003612	0.0679466724	0.0790152736	0.174729028	0.22261696	0.270863244
a31	0.0866363528	0.0835549062	0.0820481002	0.0790227914	0.192752884	0.217210746	0.25877424
a20	0.120485835	0.0970454788	0.10581046688	0.1094402544	0.1347577796	0.16087852	0.271581678
</S>	0.0912341488	0.08465741952	0.10634322606	0.096079961	0.178481056	0.169063014	0.27414118
