 	venne	scritto	</S>
a31	0.388861722	0.334317416	0.276820877
a28	0.547007042	0.312349954	0.140642988
a8	0.557049802	0.279836456	0.1631137402
a31	0.59976111	0.25412188	0.146117003
a20	0.612074074	0.229866498	0.1580594542
a31	0.598245778	0.2288407544	0.1729134744
a13	0.59426219	0.245138428	0.160599394
a29	0.590927098	0.2431204432	0.1659524694
a39	0.475382096	0.28565675	0.238961166
a31	0.430063034	0.298613556	0.27132342
a35	0.377639644	0.301979702	0.32038064
a31	0.346022954	0.331304916	0.322672136
</S>	0.3276419957	0.293594148	0.378763856
