 	non	ha	da	mangiare	</S>
a31	0.201676646	0.235606912	0.1663431688	0.225023638	0.171349644
a20	0.286729472	0.264611124	0.1020262086	0.219100226	0.1275329572
a31	0.387369154	0.23742509	0.07787893366	0.1978897772	0.0994370631
a41	0.399533706	0.28292346	0.07402240352	0.1774385648	0.0660818144
a10	0.330272744	0.270922348	0.0695448966	0.2047650824	0.1244949566
a31	0.2362877	0.238526521	0.0927354904	0.217848884	0.2146014052
a15	0.250490798	0.346217118	0.078581797	0.194319279	0.130390991
a31	0.219205782	0.308202832	0.092303208	0.208038744	0.172249429
a39	0.159066146	0.260190474	0.1258247888	0.203885996	0.2510326
a37	0.1747634232	0.178192744	0.1252037326	0.241565334	0.28027475
</S>	0.153089074	0.169453788	0.164761862	0.23434849	0.278346804
