 	pure	che	ti	vedo	una	volta	non	ti	dimentico	mai	</S>
a31	0.074426664	0.069956628	0.0780861546	0.0887768568	0.0812807572	0.0874524466	0.0687175698	0.0755938114	0.1072918952	0.121601385	0.1468158454
a10	0.0556036252	0.054141229	0.1323207408	0.156049974	0.0764664534	0.1323269272	0.0704417244	0.0852342814	0.1249782344	0.0572041214	0.0552326912
a31	0.0982442344	0.099982549	0.0744993522	0.1238945428	0.0880893354	0.155233372	0.0739565838	0.0879773136	0.1011892786	0.0546243516	0.0423090954
a10	0.0539482734	0.0607217462	0.081017038	0.125546888	0.0804662832	0.2094956008	0.099707214	0.0958808676	0.1040875992	0.0310228158	0.05810566046
a28	0.0512057802	0.0557639742	0.0728513338	0.1114526668	0.0853741198	0.1599149412	0.0794445424	0.0935843126	0.1060250343	0.0482270972	0.1361561614
a10	0.03547634	0.0480874252	0.0662579158	0.123420699	0.100712503	0.198547308	0.0778561958	0.0923948686	0.1002471522	0.0610283948	0.095971173
a21	0.043824402	0.0641928064	0.0729825984	0.136663057	0.088024114	0.191407178	0.0823464514	0.1014021412	0.0981317428	0.0550453734	0.0659801246
a38	0.043476627	0.0526023102	0.068137552	0.109207966	0.105189424	0.1950998908	0.0634017312	0.0910404202	0.0931635389	0.09976068888	0.0789198372
a41	0.0467936322	0.0520786122	0.0743181204	0.104984802	0.100860441	0.165734132	0.0644722	0.0947013242	0.0926098546	0.1207460994	0.082700784
a31	0.0500441338	0.057391917	0.1025579204	0.093240774	0.095225706	0.1114102048	0.07437389	0.126072523	0.0923445642	0.1092941244	0.0880442392
a18	0.0301450848	0.0392831149	0.0670568272	0.1463162428	0.070865375	0.133789672	0.1389313404	0.1562075682	0.0846749268	0.0501129602	0.08261689708
a31	0.03651869538	0.04853946	0.073833008	0.1577846548	0.0674553138	0.104337776	0.1206600562	0.0944595108	0.0931941222	0.0813588958	0.1218584806
a21	0.0251728075	0.02332745142	0.0676731815	0.2151761608	0.0753212078	0.1435648676	0.1563341952	0.122113571	0.07746676788	0.04177104138	0.0520787495
a31	0.02865230194	0.0296412412	0.06765395112	0.203541304	0.066102906	0.1057823604	0.140646306	0.0958772158	0.096783579	0.073394773	0.09192407166
a18	0.03048272728	0.02541240038	0.0626946534	0.258405018	0.0623066458	0.1270503068	0.10628879	0.0998887798	0.0936267994	0.04243236548	0.09141151226
a17	0.0262959437	0.02493723886	0.0557450814	0.249046992	0.0568802668	0.1092920212	0.1122329276	0.1064151682	0.108412048	0.05388256428	0.09685978912
a20	0.02627898038	0.02366471984	0.048527228	0.2826958012	0.053475478	0.1013152392	0.0977682414	0.121344802	0.1194784792	0.04602229714	0.0794287322
a3	0.02709769522	0.0258085545	0.0497552292	0.276367082	0.0583898266	0.0958132884	0.1163401406	0.113931919	0.1062897026	0.0582891419	0.07191740512
a35	0.02857432874	0.02302810872	0.04434066324	0.2666963448	0.057709202	0.1003908592	0.0927301634	0.112188596	0.1116298033	0.04261466086	0.12009723766
a37	0.0268070846	0.02104556862	0.0453490198	0.272433209	0.0629049768	0.0840386544	0.072863778	0.112613368	0.1245474254	0.07350387374	0.1038930453
a38	0.02461367526	0.0213402844	0.04448609854	0.29955595	0.0620920275	0.0827492088	0.0824663978	0.105428387	0.1171369347	0.06144514388	0.0986858604
a31	0.02830586966	0.02292480758	0.04500879626	0.2514593272	0.0554484365	0.0890777848	0.091993241	0.139725531	0.1192945856	0.0550555878	0.101706038
a37	0.03087574942	0.02886288586	0.03949789954	0.2978469948	0.0453360586	0.0753671096	0.0766855278	0.1225222796	0.1466668216	0.0733610164	0.0629776434
a21	0.03021658744	0.0245130839	0.03571099976	0.2109172464	0.05688032066	0.111654358	0.0886230712	0.1341245152	0.1334999106	0.0725506842	0.101309234
a31	0.0357880132	0.02962228542	0.04008599584	0.168657218	0.06763133928	0.1144585428	0.094089459	0.121821602	0.1418875124	0.0858150582	0.1001429676
a29	0.0538080402	0.046436836	0.05453074166	0.149059175	0.0546787942	0.084496975	0.065771784	0.109418494	0.17406175	0.1140831168	0.0936543016
a31	0.0508074957	0.04036112512	0.0467195724	0.1282941656	0.05888293352	0.1036585018	0.1092814092	0.119788998	0.152497653	0.0978089016	0.0918992524
a33	0.0695814088	0.0595900456	0.0639577972	0.122758367	0.0552102192	0.0756528758	0.0603932518	0.0997257862	0.148233518	0.1066952606	0.13820147
a20	0.0599885304	0.04979679874	0.05375862068	0.1013671402	0.0583207868	0.0881780216	0.065494351	0.0947637812	0.142217138	0.1371595208	0.1489553012
a31	0.0575868575	0.04852749162	0.05167146014	0.1040125258	0.059327408	0.1013257928	0.0973624074	0.108953323	0.1366267256	0.1106367908	0.123969188
</S>	0.0726780258	0.0695534748	0.0725832978	0.099850022	0.0615581166	0.0686331828	0.0611131792	0.0928257272	0.1155260136	0.1257326974	0.1599462482
