 	avete	fatto	già	le	verdure	</S>
a6	0.158680162	0.1350575088	0.1393443768	0.181227676	0.18938853	0.196301784
a46	0.0880794718	0.229158055	0.1376121844	0.188042014	0.1764904542	0.180617816
a21	0.1366169808	0.2056496184	0.1496800612	0.17306958	0.166873333	0.168110397
a20	0.2088555194	0.2219617114	0.1130022178	0.1212511	0.1998205156	0.13510893
a24	0.1612574934	0.27996903	0.1272706328	0.1230534028	0.1525214144	0.1559280546
a31	0.12577383686	0.263275414	0.129279554	0.1370341824	0.199770599	0.1448664424
a14	0.14631971592	0.265786158	0.146576312	0.157343374	0.1645034172	0.1194710186
a41	0.1076538388	0.279534358	0.1277744088	0.169868052	0.1899453382	0.1252239672
a37	0.1090778012	0.299496172	0.1340557332	0.166679958	0.1674377668	0.1232525532
a31	0.12811588222	0.319182402	0.1196076128	0.140652396	0.1817474326	0.110694264
a6	0.1300583408	0.278387252	0.136684694	0.1503526852	0.1604308214	0.1440862274
a46	0.073938116	0.3211210554	0.1485075926	0.174350133	0.1242632998	0.1578197976
a31	0.0827867862	0.365298122	0.1183171	0.1428337812	0.1314091808	0.1593550422
a17	0.1116062377	0.38028748	0.1184626044	0.144957634	0.0918076818	0.152878339
a20	0.071208542	0.371513153	0.1234697294	0.148694818	0.1000156702	0.185098103
a31	0.0803620818	0.3701556748	0.1243817396	0.154653886	0.0963278026	0.1741188096
a17	0.0878454756	0.3507618578	0.1398118184	0.1335494812	0.1303961026	0.1576352846
a20	0.0725724824	0.3361163916	0.128866516	0.148159412	0.143272923	0.1710122938
a31	0.0858407208	0.3022049632	0.1417167732	0.15592142	0.1380146236	0.1763014944
a20	0.1080286796	0.2887926912	0.1311466692	0.1369365108	0.1962256472	0.1388697926
a17	0.0922207516	0.264873617	0.1437915012	0.163511767	0.162677812	0.172924534
a31	0.1096100034	0.2277254326	0.13927754	0.165924444	0.1906728488	0.166789738
a23	0.1366463603	0.19713129812	0.1289061898	0.1560910188	0.204511328	0.1767137788
a31	0.123609126	0.1752314014	0.148323189	0.1770401008	0.172333738	0.203462434
a8	0.1448151998	0.1636570024	0.1313339806	0.157063038	0.2242439212	0.178886882
a31	0.1312271734	0.1659520826	0.142511944	0.179013652	0.173087064	0.208208086
a28	0.144668577	0.1498180812	0.1297301992	0.158757934	0.226556532	0.190468702
a21	0.1320976562	0.1370695104	0.1243920304	0.187186912	0.19499166	0.22426222
a31	0.1230109304	0.1471024858	0.14700484	0.189875796	0.18381424	0.2091917032
</S>	0.1521182694	0.1469529424	0.128743781	0.162578624	0.219521374	0.190085036
