 	l	ho	sentito	che	veniva	</S>
a41	0.163578722	0.124980792	0.1392375268	0.1474615196	0.2692089148	0.1555325134
a31	0.20377294	0.1289019176	0.15575478	0.183501948	0.2129880856	0.115080332
a24	0.25899214	0.238050408	0.1761667148	0.17622166	0.0786761956	0.0718928888
a15	0.1964705792	0.211344326	0.1445762396	0.22341164	0.1232860942	0.100911144
a28	0.20496368	0.158479246	0.172476776	0.201344232	0.1476102702	0.11512575
a0	0.208100114	0.123205234	0.141065364	0.261149186	0.1411072454	0.1253728574
a31	0.21760724	0.1128833412	0.140527065	0.243517811	0.1492460022	0.1362185476
a11	0.2257403424	0.1388451708	0.1382896708	0.2022780188	0.1180615068	0.1767853582
a31	0.162430569	0.14456562	0.1308737078	0.202330304	0.156250151	0.2035496508
a39	0.183630252	0.156422435	0.1350531172	0.1688038672	0.113089882	0.24300048
a20	0.162473724	0.1314568462	0.124908438	0.178908292	0.1306010626	0.271651634
</S>	0.1419997233	0.1143008774	0.138299648	0.178921256	0.145191763	0.281286772
