 	non	deve	magniare	la	sera	</S>
a20	0.219658293	0.1203765426	0.17724588	0.157007073	0.1693280834	0.1563841186
a31	0.314050194	0.0714534888	0.1275167294	0.1788330036	0.1506223866	0.1575242212
a18	0.435217728	0.0847520756	0.1179858748	0.158025233	0.120895129	0.0831239346
a37	0.369018161	0.061505551	0.074909273	0.204621409	0.1766949526	0.1132506469
a18	0.39540917	0.058687854	0.07012513	0.197068028	0.1680936888	0.1106161624
a31	0.355199716	0.0560521024	0.0764484108	0.18916026	0.1824438786	0.1406956246
a13	0.290893896	0.087351638	0.120564227	0.154814702	0.16765635	0.17871919
a31	0.221988858	0.103167027	0.104648061	0.138572696	0.170676364	0.260946974
a17	0.1440887764	0.147109811	0.12804296	0.141531307	0.206143784	0.233083376
</S>	0.137428956	0.1493499932	0.13599742	0.1401305232	0.168301374	0.268791768
