 	se	vieni	alle	sette	io	sto	cucinando	</S>
a31	0.117234014	0.0987147134	0.084243065	0.0925730036	0.110131825	0.1190503562	0.209569378	0.1684836416
a21	0.0895952422	0.1355685498	0.0904958782	0.1424997612	0.21858931	0.0942271502	0.151247865	0.0777762412
a31	0.1497344848	0.1100541658	0.1178232796	0.152537764	0.160992379	0.0910457696	0.1242575526	0.093554594
a21	0.16336623	0.131300846	0.1353551496	0.129139686	0.1936092364	0.0734830806	0.129017348	0.0447284354
a31	0.124421248	0.1052290786	0.1114427272	0.1329498414	0.21444093	0.0834057522	0.1685985582	0.059511883
a13	0.127881634	0.1021385216	0.091448003	0.1051799512	0.242969048	0.0700277888	0.1775016085	0.0828534096
a35	0.1122698458	0.0946264388	0.0817318594	0.0989154622	0.2255254516	0.065678574	0.1992063096	0.1220460384
a37	0.0959623254	0.0876166458	0.0587372474	0.0672811532	0.3018529112	0.06454634852	0.245622445	0.0783809242
a31	0.107532113	0.089503444	0.0977718732	0.0904371176	0.296743462	0.05788918522	0.1992661388	0.0608566408
a37	0.08173905986	0.0764865584	0.0600947786	0.0567137118	0.3358945772	0.0499536664	0.2354234	0.1036942604
a31	0.0786108718	0.072425138	0.0547799176	0.0586785512	0.344555579	0.0650984274	0.20977831872	0.1160731892
a24	0.081248019	0.07744639	0.06194401886	0.061868589	0.351093324	0.07633267456	0.1977136504	0.0923533194
a31	0.0972888136	0.0907778006	0.070662578	0.086217195	0.257113228	0.08517305	0.19645028	0.1163170412
a13	0.1037602208	0.136654612	0.094128674	0.1004510004	0.1413374554	0.142363707	0.144640767	0.1366635514
a31	0.1023581492	0.15115526	0.108716214	0.102987064	0.1248135608	0.1098630468	0.145826606	0.154280098
a27	0.1127195022	0.192356475	0.1059931406	0.1155646052	0.104553721	0.121874653	0.132638054	0.114299846
a31	0.1141076096	0.163401406	0.13897627	0.121915892	0.107385779	0.1082883968	0.127168556	0.118756096
a35	0.12070105	0.192125588	0.114275936	0.114223717	0.1015576264	0.115283097	0.123005181	0.118827818
</S>	0.1023760876	0.1260330522	0.123105144	0.11408004	0.10237048	0.1125715944	0.145119341	0.1743442628
