 	lo	posso	finire	di	fare	</S>
a20	0.197544907	0.1216933228	0.1431482228	0.257499848	0.16327697	0.116836718
a31	0.353426214	0.1056786216	0.097943378	0.150048196	0.198862598	0.0940409868
a46	0.433009012	0.094350893	0.09323429888	0.19697762968	0.1101880332	0.0722401592
a31	0.453706948	0.0683796896	0.0696819897	0.17659831	0.1390030008	0.0926300444
a41	0.488865846	0.0674642173	0.06599747556	0.1624783343	0.1142537176	0.1009404706
a18	0.486840588	0.05305794896	0.04910637283	0.1651804429	0.11673397406	0.1290806456
a7	0.4352007732	0.0553048442	0.0486056288	0.169481713	0.1182202766	0.173186749
a41	0.3955261254	0.0665279174	0.0498277558	0.15160851	0.11726909	0.2192405952
a31	0.3776123828	0.0689217476	0.064268543	0.1351654808	0.1277178626	0.2263139458
a0	0.3273011144	0.100644735	0.1080281864	0.1201198324	0.1800611506	0.1638450048
a31	0.2211952576	0.1121650176	0.1367145858	0.1217424916	0.174262532	0.2339201068
a39	0.1346224166	0.1424100948	0.195751438	0.140440917	0.18019167	0.206583472
a46	0.1419911084	0.1238322876	0.17513048	0.1349822614	0.21506191	0.209001946
</S>	0.1272847144	0.1240979214	0.1552377386	0.1515378564	0.224806258	0.21703552
