 	non	ci	dimentichiamo	mai	</S>
a31	0.230812456	0.211710616	0.229395992	0.175563632	0.152517334
a20	0.22576523	0.1303992754	0.3079762368	0.137782982	0.1980762586
a31	0.437063648	0.12231108328	0.2459658682	0.0814164552	0.1132429376
a11	0.505240488	0.11090111068	0.23918535624	0.0767821274	0.0678908966
a20	0.476408578	0.106910929	0.24804536156	0.0901180172	0.0785170812
a31	0.415081728	0.0966840142	0.26579559428	0.096080859	0.1263578134
a11	0.487910378	0.0931810562	0.26006284484	0.0689800416	0.08986568488
a31	0.373435182	0.092621945	0.28151948574	0.0894206108	0.1630027694
a18	0.409974604	0.0963489546	0.3217898202	0.0751789564	0.0967076694
a42	0.333401376	0.0944937412	0.3060168524	0.0859499214	0.1801381108
a31	0.26205939	0.1156490936	0.28873506394	0.1208747868	0.2126816526
a18	0.27735949	0.1414120232	0.313730884	0.1095230612	0.15797456
a31	0.310940584	0.1054818596	0.2324520564	0.1138060082	0.237319491
a39	0.285282966	0.145081636	0.2053996916	0.1591579648	0.2050777552
a31	0.3029262968	0.11376672	0.170023114	0.1568051962	0.2564786594
a20	0.272730646	0.1488279232	0.15894624	0.194718438	0.2247767172
a39	0.2937047792	0.11849469614	0.1416103824	0.2187593061	0.227430813
a31	0.299461898	0.1263859432	0.1718255936	0.1759213996	0.2264051426
a14	0.2321169032	0.1561074868	0.152018372	0.185834394	0.2739228288
a46	0.2164958434	0.15929534488	0.162716232	0.249294264	0.21219832
a20	0.1808007288	0.16615854014	0.256430688	0.224769792	0.171840242
a31	0.1870042574	0.1814258426	0.2866150392	0.182917458	0.1620373962
</S>	0.16528199608	0.1770760343	0.1514452432	0.220977326	0.2852193672
