 	essendosi	vestito	</S>
a46	0.451192802	0.290402422	0.25840473
a31	0.372675606	0.380795988	0.2465284046
a18	0.38792133	0.413768896	0.19830977
a31	0.407057012	0.404003362	0.1889396334
a20	0.359355214	0.459139852	0.1815049628
a46	0.261955482	0.4273656946	0.31067883
a20	0.315184214	0.39651177	0.288304024
a31	0.338472536	0.311890936	0.34963654
a0	0.327458448	0.389301812	0.283239728
a46	0.286113668	0.346717312	0.367169048
a35	0.341179978	0.343248056	0.315571964
a46	0.316085769	0.347688438	0.336225768
a24	0.326257744	0.362470898	0.31127138
a46	0.283074714	0.377007138	0.3399181568
a24	0.296605692	0.3821690572	0.321225244
a31	0.2784992576	0.356521603	0.364979118
</S>	0.2805337048	0.301458168	0.418008128
