 	ho	rotto	una	bottiglia	</S>
a31	0.289411431	0.142603842	0.138171342	0.195755706	0.234057649
a21	0.36553448	0.2821986782	0.1367893368	0.1095249578	0.1059525486
a31	0.481756676	0.1972540614	0.124623154	0.0961713492	0.1001947642
a35	0.531932282	0.20236847	0.1234952516	0.0760309776	0.0661730464
a31	0.437516162	0.1934522994	0.1048568506	0.1296713762	0.1345033206
a24	0.461835114	0.2407092226	0.1263929502	0.1033622606	0.0677004828
a37	0.314049119	0.3172323046	0.1169219774	0.099636454	0.1521601144
a31	0.202866656	0.235755104	0.134638574	0.175926846	0.250812814
a33	0.171098686	0.2240165	0.1304591548	0.1436987546	0.33072691
a31	0.134230704	0.228650278	0.17987873	0.215125465	0.24211483
</S>	0.124190323	0.1874529106	0.18205302436	0.1626219076	0.343681842
