 	volevo	Maria	domani	di	venire	da	me	</S>
a20	0.147319961	0.1049847456	0.085148163	0.0891147808	0.121500358	0.1162912052	0.187104294	0.148536478
a24	0.30007041316	0.08594355468	0.0546011164	0.079179312	0.0716856872	0.0894632118	0.203166605	0.1158900996
a31	0.324485474	0.1485133724	0.0957116914	0.112412221	0.079822535	0.0753987708	0.0953962282	0.0682596962
a17	0.298061938	0.1571305716	0.0780609916	0.1164954912	0.1027756428	0.0578670684	0.1143138744	0.0752944526
a31	0.2103181172	0.119200812	0.116773399	0.0976466362	0.0802245266	0.0821180404	0.14236898	0.151349509
a37	0.252473024	0.1607894522	0.0852902384	0.127203124	0.085290634	0.0543922	0.152448729	0.082112595
a10	0.223621078	0.1186597274	0.0519968062	0.0858914018	0.0861680524	0.0534845856	0.160037192	0.2201411799
a31	0.231514618	0.1020703864	0.0371894108	0.0597650312	0.0730219556	0.0520076444	0.228557814	0.2158731252
a20	0.326917068	0.1550236348	0.042247752	0.0589381723	0.0630066758	0.0514157414	0.163209811	0.139241135
a33	0.2904296956	0.08308963	0.03297575898	0.05330881696	0.05769083554	0.0332078964	0.2062052776	0.2430921106
a20	0.3099517372	0.0851039753	0.0398177474	0.041311909	0.0529195286	0.028947498	0.2581593208	0.1837882904
a31	0.324046461	0.1035632516	0.0387821892	0.0369586368	0.0478232266	0.0267225261	0.219744972	0.2023587444
a5	0.387323372	0.122209016	0.0354918444	0.0378629466	0.0409624576	0.0315899806	0.1927801208	0.1517802502
a17	0.429606428	0.0901106762	0.03496409682	0.04086969734	0.0392211128	0.036731228	0.1995203508	0.1289764029
a11	0.369682242	0.078974232	0.0431016141	0.0373851588	0.0428631874	0.0375064446	0.2167589114	0.1737281704
a10	0.353986226	0.092070708	0.05544924424	0.0450971594	0.0463154421	0.0552193638	0.2157162248	0.1361456296
a31	0.3425057734	0.0915236118	0.0599426142	0.0596613378	0.0618824408	0.0937616552	0.163041762	0.127680804
a24	0.389912904	0.0824755133	0.06072549028	0.0540488624	0.0573544398	0.0480212378	0.1731847248	0.1342768206
a46	0.2320609392	0.0878873678	0.08087868862	0.0621017971	0.06645703348	0.0945424554	0.224171728	0.1518999656
a20	0.2047209448	0.1048918134	0.09737707328	0.0860461908	0.0897020788	0.1493064152	0.151721783	0.1162336968
a31	0.1837381052	0.1132448304	0.09536150734	0.1105933972	0.1059748604	0.145246431	0.132759336	0.113081522
a20	0.1973757206	0.11917092544	0.1081252956	0.0904685769	0.0793719834	0.0845638054	0.18177501	0.1391486784
a31	0.142391194	0.111118473	0.1197580002	0.106745278	0.091396733	0.1522724352	0.136930282	0.13938757
</S>	0.1698418984	0.1309482692	0.1128677616	0.0963160382	0.08397728	0.096745623	0.1671553272	0.14214783
