 	stava	ancora	cucinando	</S>
a8	0.19149144	0.228920148	0.286083368	0.293505052
a46	0.1441733596	0.2537060592	0.368457898	0.233662664
a24	0.1561868984	0.285460182	0.339351196	0.2190017164
a37	0.12255955554	0.296566122	0.391583898	0.1892904548
a20	0.0957607452	0.263205288	0.432118088	0.208915866
a31	0.0795699804	0.244243842	0.463665764	0.212520404
a37	0.1110090868	0.273189542	0.46366659	0.152134824
a31	0.0778066912	0.237792532	0.455272254	0.229128544
a20	0.121940578	0.280930828	0.385684636	0.211443948
a31	0.1149051716	0.264013348	0.327801024	0.293280458
a6	0.1532503348	0.207333878	0.378769542	0.260646236
a31	0.1885397368	0.191289155	0.28922739	0.330943692
a20	0.150238424	0.207135164	0.383540638	0.259085772
a46	0.193486044	0.198493124	0.305483934	0.30253689
a31	0.2505564424	0.185204676	0.2650661772	0.2991727
</S>	0.17952701	0.197157736	0.30146883	0.321846426
