 	dei	genitori	</S>
a31	0.342444056	0.347111906	0.31044404
a20	0.569325784	0.3052882132	0.1253860208
a31	0.535137948	0.3599691426	0.1048928758
a18	0.580080558	0.3233572958	0.096562169
a24	0.533681608	0.3241717356	0.1421466704
a28	0.449710484	0.340377152	0.209912372
a31	0.40571763	0.355842352	0.238440012
a20	0.3243261488	0.333774342	0.341899524
a31	0.32914958	0.342147278	0.328703144
a20	0.313718555	0.296548276	0.38973316
a39	0.3126649702	0.274248014	0.413087066
a46	0.3104728302	0.291718806	0.397808366
</S>	0.288931806	0.260706622	0.450361554
