 	il	muro	vuole	uno	specchio	</S>
a23	0.1525052252	0.163624745	0.17221199	0.1554614192	0.19994298	0.1562536492
a20	0.191227038	0.218365152	0.1595339644	0.1325654108	0.1555731828	0.1427352636
a31	0.247658658	0.255193166	0.178749518	0.1010701674	0.113380032	0.1039484666
a24	0.268512846	0.259281854	0.218016508	0.073995123	0.1085501792	0.0716435004
a31	0.26224566	0.280244954	0.204836402	0.0861799332	0.0956555308	0.070837514
a13	0.311170542	0.311589042	0.191746577	0.049866909	0.0697216254	0.0659052988
a39	0.2419058712	0.219274238	0.231296322	0.0901637948	0.1197751694	0.0975846136
a20	0.219400789	0.196500735	0.212697546	0.0933281386	0.157060906	0.1210118836
a31	0.202814401	0.1701883988	0.185948698	0.1039971872	0.1852985792	0.151752724
a24	0.20747131	0.154457186	0.175774709	0.116564096	0.16772877	0.178003918
a8	0.1439268128	0.1529607396	0.1174352974	0.1304061976	0.203909952	0.251361014
a31	0.1197977648	0.1089363186	0.1226972354	0.1240659518	0.252076092	0.27242664
a20	0.1405219268	0.11442444	0.1247208384	0.1428765104	0.193233772	0.284222505
a31	0.1438292132	0.1435254959	0.11431961044	0.1178702638	0.183222559	0.297232866
a29	0.1517547158	0.1227002381	0.1238957	0.174922925	0.170113538	0.256612848
a31	0.1325115662	0.1326000331	0.11051670316	0.13115802	0.2086903	0.28452336
a8	0.144223201	0.1234320196	0.1188225998	0.205485668	0.177678522	0.230358026
a20	0.12790578114	0.12802057668	0.1168911624	0.17376939	0.247840462	0.205572628
</S>	0.10963803368	0.126526267	0.1273007394	0.193995272	0.200669072	0.241870632
