 	l	ha	scritta	</S>
a20	0.306917414	0.286664628	0.250438904	0.155979036
a31	0.407421638	0.251647288	0.1972002952	0.1437307786
a35	0.451054016	0.264240102	0.198183092	0.0865227844
a31	0.449861814	0.237458688	0.185933222	0.12674627
a35	0.491871698	0.21108587	0.1870839	0.1099585224
a31	0.51985059	0.196571596	0.1791025574	0.1044752088
a41	0.470312072	0.1769199106	0.187416775	0.1653512482
a31	0.391100564	0.207495662	0.2285490016	0.1728547952
a11	0.29959071	0.213966084	0.256408682	0.230034516
a18	0.2624682534	0.195350641	0.240046656	0.302134474
a13	0.2119467206	0.220767274	0.259957954	0.307328064
</S>	0.1868340446	0.222244508	0.276135516	0.314785928
