 	questo	muro	vuole	uno	specchio	</S>
a31	0.199066858	0.158057256	0.166480456	0.150527879	0.174202602	0.151664971
a24	0.367986506	0.21796073	0.1675452132	0.0879444344	0.0784806674	0.0800824607
a31	0.316896412	0.254670722	0.170041748	0.087498391	0.0855192696	0.0853734908
a41	0.26919031	0.289531	0.237285236	0.073821549	0.0883345778	0.04183733908
a39	0.2312424474	0.220704967	0.2526892812	0.075148064	0.1604422954	0.0597729579
a43	0.2603572128	0.2298324548	0.247900868	0.1218192067	0.09154505596	0.048545195
a24	0.377186512	0.20500523	0.167158602	0.099785357	0.0836960418	0.067168274
a37	0.402227272	0.221969538	0.171479724	0.0855138876	0.0711222524	0.0476873372
a20	0.373067988	0.209117644	0.149435048	0.0993492594	0.0936310736	0.075398987
a41	0.2973335004	0.2180061432	0.157726586	0.0908480736	0.1197236256	0.1163620913
a18	0.3000608948	0.2170076352	0.1428354054	0.0826487794	0.131339737	0.1261075484
a31	0.32722829	0.203606084	0.1220564262	0.0824784642	0.1240311476	0.1405996014
a11	0.3232027908	0.2479442172	0.1315548838	0.0596660128	0.08313411102	0.1544979846
a31	0.327670543	0.2006662512	0.1361199262	0.0690534082	0.0905381653	0.1759516798
a29	0.350232734	0.233591538	0.1317462216	0.0800187212	0.0977736462	0.1066371342
a7	0.243338257	0.221749084	0.1547755594	0.1014544776	0.1279726846	0.1507098804
a31	0.23741128906	0.177820616	0.1285993696	0.0987241804	0.170824566	0.186619991
a37	0.211632262	0.162970746	0.1467061376	0.1383427032	0.141440923	0.1989072456
a31	0.2176543228	0.149635874	0.1238201716	0.1256125392	0.1523788752	0.230898248
a20	0.147529605	0.130317927	0.1365584112	0.163588885	0.181952314	0.240052824
</S>	0.143106704	0.135582082	0.141827974	0.150269628	0.172865718	0.256347908
