 	quando	divento	vecchio	vendo	mia	casa	e	vado	a	vivere	al	mare	</S>
a31	0.0467666946	0.0559118474	0.0770079436	0.064888937	0.0596431298	0.0616249786	0.0806764644	0.079812828	0.0728347362	0.078058482	0.097539078	0.1183503624	0.1068845106
a39	0.0440545252	0.036056655694	0.08880507768	0.0578286048	0.0779287604	0.047759067	0.0836365802	0.0413518212	0.0613883956	0.0718372002	0.0745053102	0.2257798	0.089068185
a31	0.0547334272	0.03484987168	0.10051230092	0.08148963168	0.0792656748	0.0551299608	0.0614588394	0.04527054792	0.0545817012	0.056801803	0.064391367	0.235085254	0.076429614
a18	0.0678481696	0.03341066608	0.10015849874	0.07278754248	0.069556024	0.0571498086	0.0707707132	0.052753407	0.0583701718	0.0824880402	0.0603100114	0.207598024	0.06679893
a37	0.0535776876	0.03276078508	0.1545823462	0.0528957794	0.0604867944	0.0441802522	0.0632661853	0.0349609584	0.0525502497	0.069085424	0.0705854376	0.1926354764	0.1184326162
a11	0.0522857016	0.044798662648	0.16417896334	0.0533396634	0.056435942	0.0394646728	0.0597802802	0.03136962888	0.040551066	0.0665004734	0.0618171688	0.1995917288	0.129886031
a18	0.0623388954	0.05414602106	0.1408985434	0.0597893776	0.0577495308	0.0438611986	0.0717079174	0.0309871682	0.051922121	0.0662575036	0.062031968	0.1964365452	0.1018732206
a31	0.0614731834	0.05507256944	0.1276356858	0.0604844287	0.0695682034	0.0437197482	0.0759653664	0.031113343	0.0613866556	0.061596834	0.0640458978	0.183868272	0.104069815
a18	0.053780054	0.06017981148	0.125885259	0.0526238932	0.0643226248	0.0455860928	0.085519946	0.0408395126	0.0558745806	0.0746779852	0.069812315	0.1967384376	0.0741594678
a46	0.0417016802	0.05405402226	0.11227486488	0.05934715452	0.0764393012	0.0469937306	0.0823376396	0.0427579116	0.0575320364	0.075866107	0.0650242478	0.19857881	0.0870924944
a31	0.03940011052	0.0434530221	0.09238632476	0.061620547	0.0620059244	0.0423661126	0.0779408192	0.0375911568	0.0442903554	0.0691742102	0.0663748562	0.2259301642	0.1374664202
a46	0.0560952338	0.03316276314	0.1030599594	0.0771100144	0.0588087652	0.040675824	0.0705903362	0.0474581714	0.0652263938	0.0841187302	0.0570901754	0.2083780914	0.0982255494
a31	0.03617656754	0.03215452474	0.0824877584	0.052101235	0.0534913728	0.045744304	0.07786282	0.0504966052	0.0696518986	0.0852930236	0.0628869486	0.2348225668	0.11683037
a15	0.0572465506	0.02981125954	0.0946869922	0.0804152146	0.0617489832	0.0523581108	0.070333464	0.052569459	0.065203318	0.0879662206	0.0514080484	0.2121605008	0.0840919038
a46	0.04103275652	0.02623527668	0.0830298254	0.0534297024	0.0530810209	0.046211284	0.0693933126	0.0423513656	0.0672111686	0.0931497312	0.062707225	0.238568978	0.1235983678
a31	0.0475568524	0.02257480606	0.0724833922	0.0430905326	0.0476299206	0.0435599738	0.0690823378	0.0479196854	0.0698902812	0.0827648536	0.0602877304	0.259052596	0.1341070162
a13	0.048364026	0.0342501882	0.0934316598	0.0909212996	0.071861034	0.055593259	0.0775414676	0.0569636974	0.0613366578	0.0710387168	0.043403363	0.2289187756	0.0663758278
a39	0.0458041168	0.02499871564	0.0855128792	0.0559696274	0.0581128692	0.0489742544	0.0682703704	0.0440809152	0.0590277032	0.0970543934	0.0611801224	0.2435484488	0.1074655878
a20	0.0473843844	0.02179977008	0.0750986606	0.0585428316	0.0541652404	0.041336539	0.0759956684	0.0441385296	0.0648771668	0.0935199732	0.0620977406	0.2277933696	0.1332501096
a46	0.0506347714	0.0235570844	0.0882832575	0.0638072752	0.070531191	0.0431685998	0.0822552758	0.039431813	0.0474264552	0.0764669934	0.0596635402	0.2188942816	0.1358794488
a31	0.041942471	0.02723539046	0.0738203938	0.0486867934	0.0552642854	0.0489849622	0.0772940278	0.051332706	0.0773123784	0.068665571	0.0677467128	0.2262786564	0.13543565
a24	0.0458427786	0.0282678376	0.0701295786	0.1011158184	0.0754675894	0.0596196412	0.0769274132	0.0594336028	0.0544153734	0.0666054628	0.0415527358	0.2345104042	0.0861117974
a31	0.046262163	0.0263535634	0.0712633594	0.039118935	0.0655832414	0.0619639562	0.0808301898	0.0526624932	0.0785539582	0.091289104	0.0579681058	0.2021283928	0.1260224954
a24	0.0470271638	0.02855198334	0.0766676344	0.0774140762	0.0767124964	0.0611570264	0.0806263626	0.0628342414	0.0585750314	0.0614800612	0.0398591254	0.24405633548	0.085038445
a31	0.04955104352	0.02850107776	0.0727117472	0.0407759214	0.068751381	0.0652376944	0.083220046	0.0592189472	0.088695984	0.077013844	0.0535758666	0.2009114964	0.1118349428
a46	0.04784532754	0.0365443344	0.0816543216	0.0636348162	0.0810796304	0.0656817024	0.0982465696	0.0678523022	0.0674909482	0.0597995272	0.042234441	0.2073658868	0.08057017908
a39	0.06043233516	0.03766390102	0.076064072	0.0464011886	0.0677365872	0.0671572708	0.0940392626	0.0661094166	0.109452166	0.0674678242	0.0666862254	0.16620906066	0.0745807032
a31	0.04156848848	0.0385725601	0.0692720188	0.0505581434	0.0707040396	0.0752094052	0.1088768822	0.0675485818	0.0917436784	0.0695971144	0.054230345	0.1378620978	0.1242566566
a37	0.05051018734	0.0406784056	0.0755533562	0.0523708372	0.0881404812	0.0787324474	0.1152349073	0.0604987294	0.0724561268	0.0563267209	0.0530755096	0.1737670202	0.08265527232
a18	0.0428205174	0.04107045268	0.0761164712	0.056661555	0.0787372166	0.0787492964	0.1050519	0.067791109	0.0749031588	0.0584368924	0.061354178	0.1569732318	0.1013339932
a31	0.04066290746	0.03746188172	0.0660833998	0.0542884252	0.0751685026	0.0814511126	0.107107299	0.0783160146	0.0924175714	0.0731359652	0.055771208	0.1212944198	0.11684128
a20	0.0543755499	0.046200555	0.0675498716	0.0534408062	0.0789615014	0.0777045688	0.127352839	0.0568588817	0.0680145066	0.05362623	0.0728020708	0.15005457372	0.093058068
a18	0.0416591254	0.0448289142	0.0680586958	0.0682540028	0.0813386244	0.0891646218	0.108933535	0.0639883478	0.070875168	0.0642201742	0.0617262266	0.13180756	0.1051450004
a31	0.0428465058	0.04171748	0.0604500912	0.0586047656	0.07625376	0.084958122	0.1118672434	0.0902251388	0.0866331936	0.0789294348	0.057224804	0.1030604623	0.1072290182
a1	0.06192616048	0.0530668066	0.0665168342	0.0541621856	0.0731605612	0.0762118618	0.1033913694	0.0674088316	0.0693390394	0.054816698	0.0850538602	0.1370852143	0.0978605822
a39	0.04589079228	0.0549112304	0.0657270114	0.0635459448	0.0804842366	0.0903034836	0.1058864252	0.066606667	0.0638814644	0.0606577614	0.0772711426	0.1197203066	0.105113512
a31	0.04514035094	0.0477663994	0.0601880056	0.0540809822	0.0732088902	0.084228377	0.115151916	0.0872726936	0.0875815354	0.083100231	0.062535712	0.0982347586	0.1015101348
a46	0.0682799168	0.0564382138	0.0663088044	0.052880117	0.0652944988	0.0681161542	0.0767019864	0.0790399842	0.0796521974	0.058820409	0.0945541272	0.1273344154	0.1065791698
a31	0.04738645674	0.0524830406	0.0632149254	0.0588853624	0.079094286	0.0817800764	0.0913396538	0.076603246	0.073002639	0.0586193534	0.0855970804	0.1216106824	0.1103831986
a46	0.07125618254	0.0609786132	0.0688564434	0.0579796508	0.0654299058	0.0664935834	0.0696128796	0.0703725054	0.086192493	0.066177163	0.0920828572	0.1223527488	0.1022150032
a28	0.04812397746	0.0530526326	0.0625225096	0.059755038	0.0786100522	0.0848210708	0.0931360236	0.076619789	0.0672034868	0.0545958912	0.0915579184	0.1162529344	0.1137486888
</S>	0.0503126456	0.0590342484	0.0622430494	0.0523169722	0.0682813274	0.0709078846	0.077779612	0.082006574	0.1080920746	0.0877091656	0.0747827908	0.099501729	0.1070319152
