 	forse	sono	usciti	</S>
a23	0.388442778	0.1390487246	0.2326012192	0.2399072656
a31	0.501605316	0.1656824612	0.1861647492	0.1465474646
a23	0.521819806	0.157849792	0.1735893336	0.1467410658
a31	0.523671024	0.1527553614	0.1848234964	0.1387501088
a10	0.602602018	0.118117144	0.13710717	0.1421736854
a37	0.521712384	0.115565	0.2023833118	0.160339319
a31	0.4830955988	0.1221185636	0.2351601114	0.1596256906
a37	0.50409671	0.1092715868	0.180381954	0.2062497666
a31	0.4050662632	0.13961236	0.206108504	0.249212898
a39	0.2845098436	0.154222806	0.227727666	0.333539674
a31	0.2402140184	0.188026138	0.23451334	0.337246486
</S>	0.2209058652	0.2077890274	0.233079996	0.338225136
