 	non	ha	che	li	aspettiamo	</S>
a46	0.1503765824	0.161917594	0.189774608	0.216700506	0.169727592	0.111503118
a31	0.284120206	0.222503598	0.18387159	0.1447369708	0.0914942316	0.0732733548
a15	0.313086818	0.210710924	0.167154756	0.1494987208	0.11005539012	0.04949338558
a31	0.271642332	0.227292454	0.190192242	0.14084862352	0.104450468526	0.0655738918
a28	0.229198052	0.210184708	0.247681422	0.144567157	0.127237123048	0.0411315324
a20	0.220595364	0.212088822	0.19969627	0.16265796654	0.16020445728	0.04475711488
a11	0.23379671	0.219968496	0.16009313	0.15505261914	0.18616779498	0.04492124516
a31	0.2022225232	0.18239749	0.232515058	0.1593611142	0.17302205996	0.05048173072
a11	0.227375588	0.20161558	0.213286822	0.1534607048	0.12181554814	0.0824457128
a31	0.200929036	0.18734329	0.2114745472	0.1455576096	0.154362624	0.10033288892
a46	0.159850552	0.20508644	0.2450080932	0.1469750442	0.1035835348	0.13949635426
a31	0.159207758	0.16074462	0.2523899468	0.1291167918	0.1091740065	0.18936684446
a11	0.1823640988	0.237464004	0.159058781	0.1183612166	0.1172856443	0.185466296
a31	0.147948666	0.193527622	0.1645235952	0.1094980988	0.1220624014	0.2624395914
a11	0.175706938	0.21344693	0.143200978	0.14075662	0.1407653712	0.1861231758
a46	0.160565545	0.18174276	0.1310867486	0.1218846436	0.1309802798	0.2737400264
</S>	0.128013089	0.168061228	0.1533931498	0.1288495422	0.1357853668	0.2858976392
