 	qui	nella	casa	ha	la	luce	accesa	significa	che	ancora	stanno	svegli	non	sono	addormentati	</S>
a31	0.0506296478	0.0699449568	0.0418560058	0.0508607022	0.0511735258	0.0496837702	0.0479846714	0.0591900254	0.0697468272	0.0759583118	0.0742712108	0.0755848674	0.0661035412	0.0668294794	0.078351494	0.0718309684
a37	0.02184693448	0.0439443034	0.0293008566	0.0384763944	0.0447046842	0.051421737	0.063172235	0.1067547994	0.0670462264	0.0685822178	0.0777866364	0.0710530666	0.0601367952	0.0470273282	0.1650339492	0.043711856
a31	0.0314357658	0.0651514576	0.0375683236	0.0461118912	0.0573449728	0.048226934	0.064581923	0.0933910074	0.0670921142	0.0701596774	0.0729512894	0.0722077392	0.0699517184	0.0390813216	0.110986253	0.0537576036
a46	0.0303864934	0.050647243	0.032011839	0.0410569686	0.0458091982	0.0357085268	0.0487513612	0.1266847382	0.0714553384	0.0707767078	0.0633779178	0.0668326696	0.0705959588	0.0388355438	0.0929842542	0.11408522606
a24	0.0206878581	0.0529305446	0.0232097052	0.0370296446	0.0475427944	0.0454231168	0.0497030594	0.111072126	0.0566841562	0.0578958478	0.056352223	0.0513394764	0.1000126254	0.0558069926	0.1402614306	0.0940483754
a31	0.0285787641	0.0619718268	0.026723501	0.0442217988	0.047686934	0.0419269738	0.0466307002	0.0995837522	0.063225008	0.0620587824	0.0588688266	0.0591257258	0.1041731132	0.059462369	0.092670832	0.10309109
a13	0.01881442378	0.0516096256	0.02054250674	0.0293917122	0.0357200022	0.0375957357	0.0441130044	0.1643590218	0.0718285056	0.074500379	0.0646560994	0.064752686	0.1014962682	0.0471545582	0.0880048774	0.0854605898
a24	0.0210361611	0.03955834	0.0257183521	0.0465651198	0.041631632	0.0420717396	0.0436740142	0.0698485608	0.0681995634	0.0716263274	0.065088858	0.0643199276	0.11269351	0.0515431574	0.119898735	0.11652599328
a31	0.02546751526	0.047327911	0.0277504832	0.0461562362	0.0440585794	0.0431983838	0.0510830244	0.069291359	0.0713199424	0.0754389588	0.068934117	0.0690420068	0.0808406064	0.038384627	0.139785987	0.1019202416
a13	0.01649911178	0.0384200236	0.026202731	0.0395144692	0.0342832058	0.0438505386	0.0427157632	0.0788750762	0.0699483548	0.079843948	0.0734596418	0.0762443752	0.1058502722	0.0641494467	0.1069282368	0.1032148137
a17	0.01792939288	0.03023437008	0.0219000386	0.0451879472	0.0399262714	0.0411136744	0.0470821832	0.0759051628	0.07250605	0.0786072176	0.0705059674	0.0692003076	0.1133871346	0.0545135664	0.1241893246	0.0978114046
a31	0.0207378668	0.03390846408	0.0187535471	0.0422014728	0.043673708	0.043375467	0.0533757446	0.0787524708	0.0736526404	0.0812047004	0.0711325904	0.0673203236	0.0901147214	0.0621495383	0.1195282578	0.1001184676
a28	0.0175011589	0.0325089432	0.01801570432	0.0285359992	0.0296044172	0.043013218	0.0419518358	0.0818850288	0.0693277284	0.092612812	0.0876125858	0.079762715	0.1046481356	0.076427915	0.098933386	0.09765839214
a31	0.01530702152	0.0291593488	0.0154032035	0.0370501	0.0377038106	0.0362602478	0.0430895096	0.0825906116	0.073752185	0.0779532774	0.0761559158	0.074974435	0.1058424774	0.09636918654	0.1210981748	0.07729050806
a20	0.01748324242	0.02731419546	0.0157131178	0.0253314728	0.026173718	0.0419315984	0.0417185862	0.08205953688	0.0662419524	0.097000697	0.0934604488	0.0845951728	0.1004341788	0.0562836344	0.0974061478	0.1268523046
a24	0.01500437249	0.02792452246	0.01510749006	0.0319676136	0.0327046478	0.0331741494	0.03896327446	0.0837793746	0.0757539688	0.0822114848	0.0837466442	0.0944945346	0.0994634256	0.0940224554	0.1292999258	0.0623821356
a27	0.0178946212	0.0285108469	0.0171821816	0.0316417594	0.033874463	0.0342037342	0.0417023818	0.0882770068	0.0783373884	0.0836905296	0.0801258774	0.0782563686	0.0821771656	0.072754375	0.13120694	0.100164379
a24	0.02038325908	0.0338798726	0.01667874894	0.0311052032	0.0355322789	0.0456950358	0.0490038806	0.0779190974	0.0713494204	0.0884599608	0.0805646124	0.0807520712	0.0981677556	0.09194788066	0.109126072	0.06943486056
a37	0.023975746546	0.0453912778	0.0186635174	0.0368072012	0.0432893002	0.0407774888	0.0511380992	0.0688033178	0.0762212844	0.0786348872	0.074455219	0.0777581272	0.0903584914	0.069067784	0.106658392	0.09799986872
a31	0.02317863178	0.0432851922	0.01907169936	0.0392985522	0.04051018454	0.0508040504	0.0532668384	0.06545353	0.0672912096	0.0864745578	0.0859564678	0.0824091524	0.1048829848	0.0760594192	0.0926858782	0.06937164868
a46	0.01831246926	0.03015021688	0.0138173537	0.02600181126	0.0272383378	0.0339529504	0.04114952966	0.0637856204	0.0716477853	0.1012905672	0.1064423046	0.0921271562	0.09460099	0.0602928469	0.117197074	0.1019929686
a20	0.0186817126	0.0293169682	0.01467092314	0.0216286961	0.02512093452	0.03493306654	0.0454808796	0.0732644393	0.0836904696	0.103080319	0.0978983818	0.0783148424	0.0850428966	0.0984649902	0.1344250336	0.0559854606
a13	0.01889360498	0.02932537952	0.01533625846	0.023209002	0.0250164206	0.03197997352	0.0408698224	0.0809279488	0.0772452722	0.1008177526	0.1025971196	0.0965842192	0.0891108244	0.0877867204	0.1172164674	0.0630832262
a0	0.01542642938	0.0321272746	0.014524121	0.0221870594	0.02687961546	0.039142896	0.0508364784	0.0638971128	0.0738130138	0.0956882582	0.0871731141	0.0797246056	0.097476451	0.1108835111	0.1032327918	0.0869872675
a8	0.0146339889	0.03084485516	0.0124074197	0.025482315	0.032675328	0.04344048814	0.05960359892	0.0569293005	0.0705583408	0.0993943754	0.0986729264	0.0784655584	0.086499501	0.1122217698	0.09283147214	0.0853387464
a31	0.01467026336	0.030835363	0.0136363348	0.0289473976	0.0306115994	0.05091199	0.0623080882	0.0584826612	0.0779093172	0.1223112546	0.1279101776	0.0787070608	0.0840866028	0.039759495	0.082832269	0.0960801248
a20	0.01966992684	0.02395138534	0.01843844304	0.02913931716	0.0263483311	0.0304355148	0.0394583562	0.0962990282	0.0671376859	0.1230149944	0.1337992576	0.0713776692	0.0729917894	0.030931733	0.0870819192	0.1299246372
a31	0.01622789464	0.0235116494	0.0145702868	0.02363635382	0.02583791144	0.0348145626	0.04224018352	0.07701733084	0.0750283861	0.1052134712	0.10246894652	0.0789896888	0.0840214476	0.1141877076	0.0821733696	0.1000608242
a46	0.0224298064	0.03834484028	0.0188867928	0.028054769	0.0252424993	0.0267548096	0.0351874349	0.0900207614	0.073181293	0.1327439044	0.1359922256	0.070047805	0.0707232786	0.0429388294	0.0841712635	0.1052796994
a31	0.01930781474	0.02866316808	0.0181819364	0.0224775538	0.02395811852	0.038540878	0.0415390937	0.0690203024	0.0642665402	0.121396618	0.119140459	0.0701729476	0.0862958584	0.0677861376	0.10167469816	0.10757787
a24	0.0313318531	0.044196309	0.0295173504	0.0360724032	0.033211092	0.0387533838	0.0482532006	0.0829363336	0.0732258978	0.116283939	0.1368066132	0.0693423362	0.0688125814	0.0387925798	0.0807834842	0.071680636
a46	0.0252235624	0.035432998	0.02403601806	0.027176191	0.0262187384	0.0377158624	0.0389397702	0.0774104774	0.0642946208	0.1175952376	0.126031377	0.082732973	0.0788064666	0.0630223502	0.09133524872	0.0840280992
a31	0.02348853526	0.030249709	0.02517997472	0.0284055568	0.0295627126	0.0394626034	0.0413025852	0.0845126328	0.0661617596	0.1051078992	0.1073329396	0.0722327682	0.079477877	0.0741748216	0.101420349	0.0919272882
a17	0.0420567886	0.045138813	0.040114329	0.0448294462	0.04290674	0.0459083536	0.0523519858	0.087912147	0.0749995152	0.096937755	0.1044827496	0.0683057284	0.0641631228	0.041860459	0.071401254	0.0766307766
a31	0.0318428233	0.0394495438	0.0308925882	0.0324704876	0.032294	0.037564908	0.0355444982	0.0890173886	0.058927107	0.1040926508	0.0975643932	0.0781669706	0.07621841	0.0715690306	0.1089594516	0.0754257204
a17	0.0464586124	0.0434659692	0.0463997766	0.0478556974	0.0472696306	0.0514562094	0.0561492116	0.0916021508	0.074194831	0.0838076406	0.0831381456	0.0593210198	0.0638995372	0.0456554434	0.0700860098	0.0892401132
a31	0.037708029	0.0431532494	0.036597302	0.0388813238	0.0380605872	0.0434302564	0.0398943138	0.0795338798	0.058921839	0.079850687	0.089856354	0.0836688926	0.071903074	0.0737654056	0.1062136062	0.0785612092
a8	0.0469622894	0.0444497408	0.048828223	0.0497257542	0.0490424144	0.0543753748	0.0585352106	0.0911749288	0.0709778662	0.0730644512	0.0743293298	0.0590728948	0.0624750422	0.0505073216	0.070487647	0.0959915166
</S>	0.0402914842	0.0479400012	0.0414540722	0.0446769404	0.04576551	0.051881105	0.0480912978	0.07322342	0.0589341776	0.0689993822	0.0706679296	0.0685058004	0.0674195904	0.0776122816	0.1031515684	0.0913854444
