 	se	vieni	a	casa	mia	ogni	sabato	compra	pane	di	portare	</S>
a31	0.0914659312	0.0835699	0.0721345882	0.056322273	0.07198921	0.0699134978	0.0814074194	0.0713459916	0.0709949652	0.0915209076	0.119493482	0.119841842
a24	0.0837651832	0.0849238918	0.090486919	0.0643900722	0.0750244758	0.0852192488	0.0733967808	0.0572676588	0.0669556154	0.0828719994	0.1623921302	0.0733060222
a31	0.126479414	0.11128137	0.122726896	0.0865327116	0.1241425396	0.0827720696	0.068030968	0.0424247872	0.0414178138	0.0545284852	0.0685769886	0.0710859534
a28	0.0959246762	0.0871594546	0.1235831908	0.1043008194	0.1019864566	0.0856790348	0.0660079698	0.043170142	0.0446831222	0.0649450686	0.0931548844	0.0894051764
a15	0.0804350314	0.0705954562	0.0958991752	0.0823040878	0.1176470804	0.0877194874	0.0792074434	0.058549117	0.0449333494	0.066842486	0.1012819708	0.1145853152
a28	0.0763221152	0.0731933114	0.1031681574	0.0748873408	0.0925661548	0.0837132414	0.076030175	0.0468881052	0.0544919084	0.0718894868	0.0993112564	0.1475387444
a31	0.0826160692	0.081869668	0.1025863052	0.0709929528	0.0888618566	0.1199047784	0.085128442	0.042985649	0.0368082958	0.0673750058	0.142048602	0.0788223506
a8	0.0873540408	0.0774747984	0.102847081	0.0692952972	0.089613518	0.1046914526	0.0998348488	0.0745982314	0.0543582712	0.080989503	0.1079559656	0.0509869938
a31	0.06472155892	0.0583310979	0.068071875	0.0431631734	0.0532979428	0.0690546652	0.0850368276	0.05959412112	0.0718839418	0.1070824532	0.1987732674	0.120989072
a33	0.076287916	0.061853086	0.0632695606	0.05251960714	0.0628705994	0.0736143736	0.0756345254	0.07024169534	0.0745658178	0.1089391966	0.159505583	0.1206980634
a20	0.0512241201	0.0511629858	0.053156662	0.03818854992	0.0414696626	0.065441203	0.075477305	0.1046235696	0.074807603	0.10809313	0.21553292	0.1208223034
a14	0.0587299036	0.057830166	0.0586093622	0.051397286	0.0543988642	0.0689065452	0.0721273488	0.0761102764	0.0816196194	0.083246734	0.1959568508	0.1410670278
a31	0.0689728958	0.0625503382	0.085267328	0.0524401906	0.0576624802	0.0791359796	0.0817612068	0.0556131568	0.0632232146	0.0863025268	0.21024079	0.0968298966
a17	0.067022036	0.0787886406	0.0728514358	0.0539455364	0.0674078872	0.0762608348	0.0735426242	0.0656859208	0.0590860926	0.0840617524	0.1778815506	0.1234656762
a20	0.0558178436	0.0543869174	0.0641564592	0.0429708936	0.0548486496	0.0752922742	0.078471623	0.0946143116	0.069788722	0.0951987214	0.1898137996	0.1246398136
a31	0.0605746772	0.0587522558	0.0724297108	0.0519164618	0.0632297706	0.0786490516	0.0881644676	0.0961468496	0.079832354	0.0806664268	0.1609103236	0.1087276816
a8	0.060726449	0.0640237914	0.0806893438	0.0563126348	0.0717220358	0.070386589	0.0798580194	0.0861731462	0.0572647504	0.0809605946	0.1580487912	0.1338338562
a24	0.05860077652	0.0532810398	0.0565872362	0.0476521208	0.0494756198	0.0715577094	0.0729012376	0.1423786818	0.0591062412	0.1084025232	0.1555500588	0.124506735
a28	0.05646297716	0.0527864724	0.061532662	0.0483194704	0.0565445764	0.0782029868	0.0850058866	0.1241829462	0.0550194672	0.116957128	0.1588607236	0.1061246642
a20	0.0525504828	0.0582209964	0.061306146	0.0490381886	0.0599362554	0.0678435498	0.0795681466	0.1316458974	0.074512992	0.0983677846	0.142650746	0.124358784
a31	0.050331753	0.0583938256	0.0630440554	0.0478284516	0.06277226514	0.06824204186	0.078923603	0.1053095324	0.0970367834	0.0971858504	0.129902032	0.1410298222
a46	0.0585933571	0.0526121136	0.0551337948	0.0501786944	0.0546361846	0.0663286092	0.0683599096	0.1667955364	0.0680207806	0.0806118416	0.141980054	0.1367491032
a18	0.0539779976	0.0563507372	0.0591798226	0.0509210308	0.0559714862	0.0625367658	0.083710456	0.1128236386	0.0764345814	0.1046742254	0.1512652208	0.1321540608
</S>	0.0513846152	0.0564578902	0.058134892	0.0566812957	0.0576954042	0.06606496572	0.086784867	0.09103071	0.083732296	0.1074195354	0.1474382432	0.1371752652
