 	ha	pensato	che	il	ladro	è	entrato	dalla	finestra	</S>
a31	0.1204693792	0.0602735176	0.080426866	0.097545196	0.10705459	0.0958071738	0.077740762	0.1212439152	0.127998308	0.1114402606
a28	0.0980002464	0.0483426236	0.0638012504	0.123921639	0.219006974	0.1170580012	0.05301507552	0.126719192	0.103416412	0.0467185676
a31	0.136242994	0.0669374586	0.083901152	0.10199365	0.1419657064	0.083072825	0.05368535728	0.1162650166	0.159116126	0.0568197276
a17	0.1465246754	0.0660644332	0.0700414916	0.094354804	0.193764538	0.0663573182	0.0290169902	0.1137607674	0.160462858	0.0596521238
a31	0.1083224414	0.081611366	0.0748709002	0.0956031608	0.18128247	0.0853764576	0.0343027361	0.1099928046	0.179916436	0.0487212002
a20	0.1449862222	0.07230617384	0.0604620475	0.089912331	0.219882571	0.1378419901	0.03990701848	0.086522219	0.1076375688	0.0405418451
a31	0.0999647503	0.0613835497	0.0589368638	0.098981356	0.2512268948	0.118673409	0.03436199158	0.0818500624	0.118740482	0.0758806598
a20	0.1233708982	0.05841972494	0.0502665166	0.094493983	0.233629684	0.1668768026	0.04139265224	0.0785974786	0.0944285788	0.05852365394
a35	0.095940894	0.0505079675	0.0486431354	0.0934361474	0.2685206188	0.1339778729	0.03310376316	0.0636438106	0.1069791066	0.10524667088
a36	0.0763970963	0.0382462506	0.03926608086	0.0613890104	0.2850823384	0.0873075372	0.028520405646	0.1005949026	0.1545391976	0.12865716668
a31	0.068998155	0.0448561498	0.0404479745	0.0663777316	0.2487570894	0.064977461	0.0391464624	0.0917079836	0.1955490808	0.1391819238
a20	0.1029428938	0.05952298548	0.0684726426	0.0905853724	0.2767431888	0.0739058158	0.03363774444	0.0674983864	0.1163282744	0.1103626698
a17	0.0619176508	0.04053077168	0.04069986388	0.045403333	0.2907932564	0.0484122966	0.0239332256	0.1129745438	0.215666146	0.11966891288
a28	0.0526656637	0.0390017461	0.03698223032	0.0583248864	0.3105256994	0.0501986802	0.0304007002	0.133417812	0.1294443186	0.1590382555
a31	0.0524882104	0.03901838774	0.05547803646	0.0783004922	0.3059770157	0.0467320452	0.0402282696	0.101377643	0.112060768	0.1683391034
a24	0.0689840134	0.0424708691	0.0684442458	0.0962336784	0.3190160928	0.0493725542	0.0407620638	0.05883056	0.1250783528	0.1308075346
a31	0.0596999786	0.03718857138	0.04086028358	0.06664644464	0.24984323674	0.0559480861	0.048489136	0.0960470298	0.20493679	0.140340458
a15	0.073357769	0.06238998168	0.0820084594	0.08990832	0.2100917816	0.067690017	0.0752359758	0.0681199912	0.112772196	0.158425512
a31	0.0595339152	0.04581932312	0.0529685839	0.0698802378	0.19621515174	0.0583700078	0.0813523968	0.100446422	0.1903737616	0.1450402162
a46	0.0783772152	0.0760075868	0.092559269	0.0862556564	0.09871679452	0.084580447	0.1169755576	0.0882541592	0.120034125	0.1582391988
a41	0.0655791042	0.06011003844	0.063999788	0.0716061846	0.11036954966	0.0785352024	0.1075815472	0.113893761	0.176681924	0.151642895
</S>	0.0619524682	0.06754304384	0.071795604	0.0683086232	0.0747678422	0.0958187952	0.119732432	0.1297629548	0.169054462	0.141263774
