 	sto	ancora	cucinando	</S>
a20	0.237923468	0.2543788	0.282737108	0.2249606332
a31	0.229940471	0.275052076	0.328869126	0.1661383206
a37	0.2897404672	0.291157652	0.31354428	0.1055576088
a20	0.2709225862	0.289506584	0.3202264924	0.1193443398
a31	0.231448701	0.28062737	0.35673209	0.1311918382
a30	0.261684506	0.253609572	0.37948869	0.1052172054
a46	0.191409472	0.316110516	0.337522948	0.1549570806
a31	0.301324882	0.2055466968	0.3125833546	0.1805450652
a39	0.210931332	0.191603605	0.36814922	0.22931584
a15	0.189007692	0.170353607	0.289398943	0.351239738
a20	0.265851044	0.1701839996	0.28329748	0.28066745
a22	0.256583468	0.1561000214	0.2639233108	0.323393228
a31	0.301294358	0.1798141408	0.222431831	0.296459684
a46	0.2263391896	0.177529152	0.240541702	0.355589954
</S>	0.2595364386	0.1735058302	0.20518512	0.36177264
