 	mi	sono	vestito	</S>
a39	0.39221101	0.1744577108	0.221817084	0.211514162
a11	0.631839926	0.1138143803	0.1731221382	0.081223574
a13	0.642646626	0.0859957348	0.17545625382	0.095901396
a18	0.604180306	0.12635311	0.1385948191	0.1308717782
a31	0.6091164	0.1143243172	0.1501629079	0.1263963645
a37	0.597886548	0.0985240166	0.18399505116	0.1195943696
a15	0.58229859	0.0994835934	0.15515862152	0.16305921
a31	0.481026636	0.143535216	0.1677479744	0.2076901988
a46	0.319607126	0.189815716	0.236234434	0.254342742
a31	0.333435923	0.1863738592	0.241378998	0.238811204
a20	0.224289121	0.305293126	0.231056596	0.239361142
a31	0.2581920916	0.237330656	0.242054466	0.262422768
</S>	0.2312713872	0.220038342	0.191418966	0.35727131
