 	lo	sentii	che	arrivò	</S>
a11	0.231045062	0.226747422	0.152675534	0.218452164	0.171079818
a31	0.205848846	0.219576858	0.1608361262	0.308687717	0.1050504528
a28	0.195389935	0.238376156	0.159532558	0.299982651	0.1067186756
a37	0.137811734	0.1939189344	0.225248372	0.36019414	0.0828268172
a20	0.1184829266	0.165902988	0.1747204024	0.489992292	0.0509013728
a31	0.1029991814	0.133048878	0.229269509	0.455613813	0.0790685744
a1	0.1085543862	0.1768103906	0.2177623384	0.361441128	0.135431757
a0	0.1077709608	0.1286167846	0.1533861356	0.388775034	0.2214510918
a17	0.0911115908	0.1274852146	0.1431919506	0.454020288	0.184190966
a31	0.1176493302	0.1395464023	0.141863898	0.414235744	0.186704606
a0	0.161698809	0.1973955802	0.1436614014	0.3162756912	0.180968508
a46	0.112427751	0.141672788	0.1154178708	0.3442186688	0.286262948
a31	0.1855074172	0.18359874	0.1357618638	0.242304548	0.252827426
a18	0.187486958	0.183207196	0.180326376	0.2238901684	0.225089326
a31	0.1656197986	0.19009017	0.1372825484	0.192806416	0.31420107
a39	0.2051936922	0.165660808	0.191501744	0.170550748	0.267093026
a31	0.1983231884	0.1561737606	0.15121676	0.1815300892	0.312756182
a46	0.180400288	0.1603989446	0.250111112	0.180393262	0.228696388
</S>	0.1596811344	0.16015419	0.178798224	0.22388695	0.277479472
