 	sono	vestita	</S>
a31	0.28111953	0.405710728	0.313169744
a20	0.23774772	0.521857124	0.24039516
a31	0.2416463812	0.529238394	0.2291152112
a41	0.28342824	0.505383202	0.21118857
a46	0.222415202	0.521419528	0.256165288
a18	0.225773688	0.39769795	0.376528364
a24	0.278070318	0.383788808	0.338140856
a31	0.2706903548	0.30838367	0.420925988
a11	0.268998437	0.326846206	0.404155367
a0	0.312380032	0.269184296	0.418435662
a15	0.2847948164	0.290336002	0.424869196
a8	0.2572456322	0.287766504	0.454987872
a39	0.2653243774	0.2431373258	0.491538316
</S>	0.290759918	0.299148722	0.410091356
