 	che	non	li	aspettiamo	</S>
a20	0.208492578	0.217231396	0.25735941	0.182079598	0.1348370312
a8	0.305185312	0.285112424	0.1955109778	0.1041918148	0.1099994884
a7	0.298177788	0.308123844	0.18301716604	0.122518622492	0.0881625849
a35	0.342949166	0.265859028	0.17969266666	0.124993075408	0.08650608548
a46	0.2676386548	0.216629438	0.1837377866	0.239528539046	0.0924655682
a31	0.241290136	0.261173206	0.1947838278	0.21055494296	0.09219789152
a11	0.29706038	0.226585152	0.171118889	0.15937882812	0.1458567834
a31	0.250499852	0.251821296	0.1732248252	0.1666768982	0.15777712728
a0	0.290825462	0.233558894	0.1757858394	0.1530534074	0.1467763896
a31	0.260128078	0.2442482468	0.167212296	0.167698235	0.1607131492
a30	0.236221082	0.253857212	0.17540747	0.148221053	0.1862931728
a0	0.20667125	0.24905954	0.1547822412	0.1481520666	0.2413349114
a31	0.20012332	0.246124558	0.151936211	0.1394876538	0.2623282558
</S>	0.296460774	0.202300394	0.1383151788	0.1415448124	0.2213788788
