 	i	bambini	non	lo	possiamo	non	possono	mangiare	il	gelato	prima	che	mangiano	</S>
a20	0.0567499154	0.0486634324	0.0522862732	0.0603641384	0.0588547228	0.0577280364	0.0736030362	0.06174709	0.0626643758	0.080875718	0.083435392	0.0746531246	0.1248918228	0.103482908
a31	0.0575593236	0.0417516923	0.0511981166	0.0485613606	0.0623373498	0.0535822248	0.0817567642	0.0685660138	0.0703965096	0.1284179298	0.0555929132	0.0759490572	0.1418793216	0.0624514172
a10	0.0533624854	0.03992188456	0.0455991898	0.066171227	0.0558473942	0.0426394444	0.0785503406	0.068276484	0.0861245312	0.117046204	0.0571284882	0.0904373626	0.1543942978	0.0445006802
a17	0.0662829212	0.0688274486	0.1100264344	0.1117997592	0.0526011912	0.0445396646	0.0534321008	0.0496432104	0.0648896236	0.1041074606	0.04700962348	0.0658130826	0.1268171812	0.0342102782
a20	0.0490684184	0.0392186944	0.0823765166	0.108931889	0.0626620264	0.0597134674	0.0625347956	0.0523722202	0.0710766952	0.0997157286	0.0410206607	0.0601471211	0.1671111184	0.0440506726
a31	0.0597960794	0.03931007326	0.0577263514	0.061981267	0.0508165544	0.0617791074	0.0612524038	0.0563322918	0.0825483292	0.100491201	0.05326193626	0.0717742026	0.1880837334	0.0548464658
a0	0.052751376	0.0557783403	0.0563663214	0.0933806548	0.0501855594	0.0493773994	0.0702806046	0.0656681866	0.1140981406	0.136472436	0.04115348904	0.0646763612	0.1135620518	0.0362490856
a7	0.0417607028	0.02949039714	0.0340406126	0.0626202604	0.0508371438	0.068215194	0.095310376	0.072706519	0.0934241954	0.134259828	0.058117938	0.0640315408	0.1267429052	0.0684423736
a20	0.040033799	0.03287041796	0.0593389828	0.086036793	0.0527154458	0.0668184208	0.078896185	0.0550967082	0.0738146732	0.1097170086	0.0535746282	0.0684360908	0.1431805694	0.0794702704
a23	0.0478993326	0.04066425814	0.0578093106	0.0858791158	0.052068256	0.0535641886	0.0573771088	0.051733121	0.072277408	0.1045683696	0.0572087425	0.0692551599	0.1643830084	0.0853126508
