 	il	dito	si	gonfiò	</S>
a39	0.272198762	0.157979452	0.20478773	0.1796791128	0.1853549548
a13	0.40705237	0.1225699816	0.2112304202	0.1292398708	0.1299073488
a31	0.440893108	0.146897213	0.2061506798	0.1062968584	0.0997620956
a20	0.460133564	0.2029003622	0.1899332836	0.0766786238	0.0703541356
a31	0.492757748	0.1270907212	0.1625636999	0.1057361772	0.1118516678
a11	0.555757938	0.1262542638	0.1427824662	0.0871128636	0.088092426
a31	0.471419714	0.1404129296	0.137388543	0.09942279	0.151356045
a39	0.408238216	0.156701664	0.139106486	0.1296422368	0.166311399
a31	0.292127584	0.14901805	0.1251789242	0.186721834	0.246953596
a41	0.272160663	0.169886997	0.1459432692	0.181718284	0.230290772
a46	0.2422014166	0.168585304	0.1268733578	0.171843252	0.290496654
a31	0.2302283428	0.1991202068	0.1360288326	0.180755784	0.253866866
</S>	0.179261624	0.1744945816	0.1511414948	0.1712374768	0.323864838
