 	hai	già	mangiato	</S>
a38	0.252371	0.249497452	0.258548374	0.23958317
a31	0.278803542	0.241794363	0.269298082	0.2101040256
a20	0.413336668	0.2395873612	0.218764184	0.1283117586
a31	0.358566854	0.238414716	0.2189294128	0.1840890054
a27	0.365974984	0.236337112	0.2422065676	0.1554813512
a31	0.281579454	0.269771468	0.242101414	0.2065476852
a20	0.230058606	0.230814224	0.295706902	0.243420266
a31	0.2354479	0.220372938	0.335318968	0.208860216
a39	0.204467304	0.1817842748	0.251269836	0.362478586
a20	0.188059916	0.1844629548	0.33233578	0.295141344
a10	0.189042808	0.2038762208	0.28030907	0.326771886
</S>	0.1946070912	0.193830982	0.25812089	0.353441058
