 	vuole	andare	a	Lecce	</S>
a20	0.179096778	0.15019428	0.22417924	0.292130452	0.15439925
a31	0.237755882	0.17239309	0.1332343248	0.306036033	0.1505806922
a18	0.32704171	0.2041906444	0.152348388	0.2496258762	0.0667933594
a46	0.295625802	0.1448453542	0.127984564	0.3375019668	0.09404230544
a37	0.235846857	0.1068826552	0.1121574996	0.450190196	0.094922808
a23	0.1635212676	0.0681609408	0.1164061874	0.531202348	0.1207092664
a18	0.1525807412	0.0948562202	0.156679518	0.406819788	0.1890637258
a38	0.1216722212	0.1125158078	0.144268146	0.466781184	0.154762625
a37	0.115575879	0.1192029668	0.1334495266	0.42168522	0.2100864196
a31	0.1157222414	0.1081357558	0.1321293648	0.385293226	0.258719388
a20	0.1106902808	0.11096678	0.170103166	0.36623579	0.242003966
</S>	0.1265101922	0.1008406018	0.172351918	0.261997698	0.3382996
