 	qui	dentro	vuole	un	tappeto	</S>
a31	0.120813202	0.188604894	0.145856547	0.149296671	0.207389244	0.188039446
a18	0.0842027706	0.240287836	0.164880982	0.134793105	0.2488718888	0.1269633882
a10	0.1433572714	0.228981724	0.139363542	0.1242439612	0.2154872734	0.1485662328
a31	0.1203791282	0.248967968	0.151557625	0.143538053	0.238170506	0.0973867268
a14	0.0632105852	0.20303791	0.1160241814	0.109792782	0.411455246	0.0964792974
a31	0.0594454878	0.190312133	0.129750186	0.146216998	0.35933687	0.1149383392
a39	0.0392087078	0.185170722	0.079516277	0.0880787052	0.42914632	0.1788792784
a31	0.04817511934	0.143195397	0.0867218604	0.106607033	0.447535274	0.1677653656
a39	0.04800670706	0.161640525	0.0648834922	0.111490902	0.478028562	0.135949812
a33	0.0508145724	0.1009622588	0.0622577576	0.0801644654	0.557780272	0.1480206512
a31	0.05757142476	0.1203271486	0.0707980732	0.0881953892	0.5330141648	0.1300937818
</S>	0.06463653334	0.0914097256	0.0716434778	0.077602566	0.51772029	0.1769873728
