 	prima	di	andare	alla	scuola	</S>
a7	0.0936760194	0.2071861704	0.1779806034	0.1638774292	0.200923405	0.1563563812
a11	0.13523741	0.267209073	0.2082166072	0.153855954	0.099237637	0.1362433336
a43	0.1363099526	0.290868886	0.178804973	0.1872094488	0.1337583546	0.0730484062
a20	0.1250138724	0.2713531	0.1421172426	0.1587677812	0.2095630686	0.0931849636
a31	0.1302157764	0.237949882	0.13757162266	0.209828944	0.186205714	0.0982280602
a20	0.0871928403	0.18920807	0.152793555	0.16789843	0.2979888872	0.1049182254
a31	0.0789842578	0.1422429994	0.1511178538	0.181421602	0.282859416	0.1633738232
a20	0.0951038672	0.1446175642	0.1478026488	0.152412964	0.2725822868	0.187480678
a31	0.0970650842	0.1224620154	0.12972395	0.1877895332	0.255861774	0.207097654
a20	0.128435626	0.1306673668	0.111979093	0.1231967034	0.25946125	0.246259953
a31	0.1189629506	0.141197221	0.138415456	0.170645728	0.197434082	0.233344586
</S>	0.1114932754	0.1226845812	0.1035336944	0.135018508	0.240209972	0.287059978
