 	Marika	tu	hai	mangiato	</S>
a8	0.17321848	0.176758527	0.159664324	0.2254195	0.2649391632
a31	0.2694189998	0.1426059602	0.1309943504	0.248296244	0.208684455
a24	0.3144584822	0.203010211	0.1327469084	0.207070473	0.1427138914
a31	0.364546272	0.2330404448	0.0977685084	0.186260988	0.1183837836
a28	0.396807638	0.199652584	0.0770260486	0.139300898	0.187212869
a31	0.289025006	0.1700410904	0.1572523848	0.19507005	0.1886114622
a3	0.383381899	0.173266252	0.1137367892	0.183263456	0.1463515806
a18	0.265358034	0.1241167106	0.1136143154	0.284032608	0.212878306
a31	0.25199791	0.141002095	0.130507835	0.229726374	0.246765814
a23	0.2225691524	0.1126361782	0.1218731742	0.285527602	0.2573938832
a31	0.199300815	0.1092005232	0.17081473	0.271885458	0.248798478
a20	0.1452623414	0.128797606	0.1650865166	0.28940065	0.271452894
</S>	0.1525196268	0.1329450118	0.1643919	0.209759348	0.34038411
