 	sto	e	cucino	</S>
a31	0.33318369	0.315433194	0.156104477	0.1952786592
a20	0.291698096	0.337474482	0.220770561	0.150056861
a31	0.298678436	0.3565077988	0.2297346082	0.1150791564
a37	0.301160456	0.361754617	0.16349826752	0.1735866416
a18	0.304855862	0.399551858	0.1975652127	0.0980270884
a31	0.252042086	0.36111476	0.2402724082	0.146570746
a20	0.2429107788	0.35346456	0.2295879512	0.1740366676
a31	0.171545774	0.331833426	0.259121322	0.237499482
a28	0.177420158	0.255168714	0.26812794	0.299283206
a33	0.154409532	0.224026716	0.249120654	0.372443114
a31	0.2091634792	0.200808622	0.26118783	0.328840066
</S>	0.1663710924	0.1943935766	0.219650146	0.41958517
