 	lo	ho	finito	di	fare	</S>
a8	0.150779835	0.129943527	0.146440568	0.1859953232	0.190969132	0.195871614
a31	0.257881156	0.218326494	0.0650095106	0.1567975666	0.1596361714	0.1423490892
a20	0.2589531008	0.198659818	0.0853540666	0.1923909832	0.1520748958	0.1125671624
a24	0.269301058	0.197405112	0.1268727986	0.1650087166	0.1481536822	0.0932586818
a18	0.340080366	0.227587908	0.0958055374	0.1646551772	0.1036630957	0.0682079196
a31	0.264681064	0.174987318	0.132221374	0.2069806836	0.1367873756	0.0843422022
a20	0.236819926	0.1905508632	0.119872499	0.231883644	0.131105634	0.089767397
a10	0.1743027098	0.171479298	0.1219967144	0.218195919	0.160749378	0.1532759706
a20	0.168576554	0.1361142544	0.1063024814	0.2154566392	0.210731126	0.1628189262
a7	0.153373769	0.1282151828	0.127569976	0.2195408328	0.200497962	0.170802284
a31	0.1263707932	0.1074993072	0.1176374418	0.2153520008	0.204265004	0.2288754648
a20	0.1685617	0.1231245084	0.127439546	0.1703154132	0.16813435	0.242424449
a18	0.1250598792	0.111678262	0.1192449952	0.1972809414	0.225451769	0.221284152
a24	0.1261797552	0.103434268	0.1257041158	0.192303245	0.219185488	0.233193142
a46	0.1219597208	0.0998788386	0.12300164212	0.212051939	0.225074028	0.21803382
a31	0.141324361	0.1121117546	0.1178793726	0.2042569772	0.200329458	0.22409806
a33	0.1368046542	0.11582211156	0.11933254004	0.1828811206	0.162612356	0.282547216
a8	0.109370645946	0.11361481336	0.14149603158	0.1670735474	0.274788776	0.193656166
</S>	0.1194665239	0.1250769238	0.1262260074	0.1573427002	0.226888228	0.244999644
