 	se	vieni	alle	sette	ancora	non	è	pronto	</S>
a10	0.17324917774	0.193876407493	0.00455116713398	0.0259319674597	0.0181271725707	0.186270946721	0.0889887386319	0.148458637665	0.160545791364
a15	0.215306640147	0.19146083052	0.00464587656	0.183081899548	0.007213973404	0.0332870954028	0.344919820572	0.0139379279106	0.00614592349859
a31	0.0171168340009	0.15255134528	0.0527280528208	0.399345543841	0.0366000109921	0.0567942416462	0.18922582186	0.0892365114	0.00640162452
a21	0.0173403285747	0.203134738738	0.0155971131904	0.375176978503	0.0906745079182	0.074224088025	0.14657881702	0.0717012749676	0.00557216463914
a31	0.01038859546	0.23984273272	0.000363623982372	0.240537739314	0.169334552243	0.13324165174	0.163867837428	0.0316339219356	0.0107893178184
a8	0.0161172171282	0.211144868794	0.000180583520683	0.178191422379	0.208208031634	0.0382807733	0.188955186942	0.15436732648	0.00455457525076
a31	0.08295802744	0.0403668841	0.00999492009732	0.053992140723	0.172681834513	0.0676532363776	0.232306004	0.324507098	0.015539839554
a20	0.296935174378	0.0172177882149	0.00078883173805	0.00844568444784	0.0198355750373	0.00567002959573	0.156104079739	0.49181649262	0.003186324282
a39	0.121446214344	0.0459843582523	0.0212518809809	0.0195593502132	0.0492511979473	0.0475930355978	0.0476449702405	0.601006992	0.046262027012
a20	0.0476251119826	0.0382870119619	0.0467995562124	0.00941771146638	0.00714627730861	0.042684030283	0.0704842904341	0.686740454	0.050815575268
a46	0.0876561643308	0.0218800606454	0.0142361164495	0.00549567661726	0.00513131600093	0.0397880660673	0.0411225677589	0.710502384	0.07418765196
a31	0.0352661651955	0.0173485789369	0.0232638850499	0.00856066347369	0.00676110029274	0.0164820061404	0.0697664279916	0.713551624	0.10899954794
a39	0.225400744037	0.0681363324597	0.0219694966671	0.0118553974913	0.017312978806	0.00589179213984	0.088560132833	0.5283654492	0.03250771222
a31	0.041205336414	0.04708708247	0.0601542489128	0.0129820437587	0.0107830557521	0.031800165449	0.0595793070307	0.626496048	0.10991275124
a20	0.128065156837	0.062309739146	0.00938474496239	0.0106397625234	0.0145636994073	0.00636782663369	0.172841214948	0.487011394	0.10881643947
a31	0.0193609185153	0.0303782321455	0.0596029728733	0.0105042023622	0.0062219286703	0.0141531109856	0.0452144309517	0.524895132	0.2896690718
a46	0.103193224892	0.0896343334212	0.0125246173786	0.00790002840244	0.00884393147221	0.00269174475653	0.184916555579	0.3406101308	0.249685426094
a31	0.00729382304809	0.0277121391493	0.0695260707164	0.00893477054507	0.00626176282445	0.00483672996591	0.0336272650519	0.5032441738	0.3385632536
a46	0.0815691521347	0.115736249169	0.0137221240707	0.00699409824013	0.00835771152788	0.0009593098347	0.173607188451	0.342217516	0.256836667368
</S>	0.00537888273238	0.0408264370489	0.0730528575638	0.0071982193423	0.00691705956882	0.00146663669929	0.023033161087	0.4716775358	0.3704492108
