 	se	si	era	vestita	la	mia	figlia	l	avessi	portata	alla	chiesa	</S>
a31	0.0505533762044	0.134186712715	0.0903032997905	0.00394624878493	0.0092498743084	0.00505880124475	0.117894650381	0.00665419821554	0.0636343730758	0.279219283652	0.0522338265758	0.165583046523	0.0214822962983
a24	0.0140953928354	0.19999949268	0.027906437184	0.00461277318198	0.0841190018176	0.00530228462528	0.0956291661155	0.0265966131985	0.00465872304163	0.431506378002	0.0301452930323	0.0341616837503	0.0412667622737
a28	0.0590363713311	0.0372080935972	0.115379639179	0.0227279347605	0.0447479502604	0.00504923614408	0.0403797378209	0.0351360435384	0.019455625557	0.38415490424	0.0340918123128	0.0748223637687	0.127810293108
a39	0.105278193474	0.0225023122911	0.0593399341197	0.0226057176623	0.0116395815144	0.00154202467353	0.0224464591593	0.007929445889	0.119195694863	0.385927740166	0.0387391791918	0.0649791316459	0.137874584418
a17	0.161679024596	0.0223185373899	0.0334631643752	0.0157632651388	0.110048964558	0.00141613007302	0.0805634516702	0.0130499092087	0.0893120022901	0.270022869772	0.0175251709718	0.0429789092641	0.141858570752
a31	0.205204277434	0.0424467231886	0.0470544133706	0.01412992879	0.12363289416	0.00432686961333	0.0632910698136	0.0159722062186	0.0732545234272	0.219578822912	0.043426900239	0.0360356977276	0.111645697688
a20	0.255128157849	0.0353685432248	0.101297534054	0.0429368535875	0.080250765266	0.0325299565856	0.0876853308315	0.0088780723757	0.0103291033007	0.196962246699	0.053779477142	0.0546065428036	0.0402474705927
a31	0.215677794671	0.0125755361295	0.11328973264	0.02277174246	0.12087064202	0.0129187181066	0.093589814634	0.0192943812037	0.0115195176538	0.126249997071	0.0419803552011	0.0511138850604	0.158147872174
a17	0.189495951165	0.00400699303068	0.022243543696	0.081766796226	0.049164489134	0.0170097669306	0.079204091153	0.0351441438332	0.0110559326296	0.331639833542	0.0596411594809	0.0826711304724	0.036956147725
a8	0.176742688171	0.0272498882071	0.03752758986	0.0290328648	0.12453644308	0.03016362454	0.162407864416	0.012275004484	0.0091739286264	0.0303165917771	0.0420965549051	0.159319942614	0.159157000635
a31	0.185762023181	0.0465503244926	0.111937202904	0.0180014168	0.052052932164	0.039690505742	0.152902948049	0.0199893688536	0.0145080178882	0.0206628936443	0.0440467412018	0.134547412959	0.159348239515
a8	0.0807318664556	0.0557705895792	0.210663045582	0.068664461758	0.067774819368	0.0309586774259	0.151716023212	0.0525856887434	0.00223767531656	0.143247243603	0.0519800078403	0.0376821011391	0.0459877818228
a24	0.149333759756	0.0504157745592	0.054032961474	0.02683944932	0.054898224148	0.04525645868	0.151777338458	0.025930123512	0.0321484744696	0.0354139036683	0.0830044168233	0.118956508926	0.171992559344
a31	0.0854340562616	0.17722266886	0.113337214216	0.013107006572	0.015224260506	0.0432694176882	0.174017351346	0.027140254557	0.00484373397658	0.0419094577489	0.0379615344676	0.111225690947	0.155307337403
a20	0.0402238284974	0.0301740388044	0.221724157175	0.0432081452	0.07464776008	0.0344072872163	0.155956226818	0.044492906674	0.0026034714126	0.208521165182	0.0337440373363	0.0247328840548	0.0855641257143
a31	0.146092890986	0.0678569831446	0.082683453868	0.025568312972	0.066556616066	0.02398974429	0.093776775794	0.0259688648	0.018169513769	0.0330679664348	0.0638579856996	0.119824662536	0.232586238114
a41	0.093475390571	0.111821854396	0.122517640894	0.04036253112	0.033698443692	0.0467941642977	0.144343527242	0.044084968534	0.00433885952996	0.167805620882	0.046998752709	0.0336327344132	0.110125518924
a31	0.157975523244	0.116696245621	0.079212219936	0.02016894986	0.056720535064	0.042998555682	0.10598626066	0.012356821136	0.0274217384497	0.01228661187	0.050656176478	0.109782248606	0.207738113752
