 	essendosi	vestito	</S>
a46	0.58119272206	0.2864971813	0.132310073018
a31	0.484004932	0.261543906801	0.254451172772
a18	0.793353866	0.203277127201	0.00336897255499
a31	0.6591930646	0.325981151965	0.014825761582
a20	0.735272886	0.26376582587	0.00096129292824
a46	0.35799782432	0.483700044507	0.158302129778
a20	0.3119616518	0.3886537542	0.29938461516
a31	0.23599752453	0.29266403694	0.47133846976
a0	0.07001187708	0.3266743308	0.603313776199
a46	0.224007730346	0.41330586226	0.36268640846
a35	0.366990944941	0.36922180888	0.2637872352
a46	0.235186115688	0.53677224984	0.22804161908
a24	0.121624270854	0.5750722014	0.30330353704
a46	0.0379029633891	0.565661278967	0.39643577815
a24	0.031212545735	0.583809693418	0.384977751489
a31	0.00832986728714	0.46833772154	0.523332460714
</S>	0.00411597893141	0.398146113418	0.59773789416
